,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736094966.8278697,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,49359114240
1,1736094967.8340416,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",16.4,50128613376
2,1736094968.8358326,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",6.5,49980973056
3,1736094969.8376617,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",4.7,50179481600
4,1736094970.8395004,"[0, 0, 0, 1]","[928710656, 1368653824, 1368653824, 1368653824]",3.5,50530258944
5,1736094971.8411736,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.2,50854764544
6,1736094972.8431113,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.8,50846740480
7,1736094973.8448277,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.4,50841554944
8,1736094974.8468177,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.8,51228024832
9,1736094975.848737,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",3.5,51211128832
10,1736094976.8507302,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.3,51199721472
11,1736094977.8526678,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",46.4,51414355968
12,1736094978.8546426,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,53102645248
13,1736094979.8565788,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.6,54771163136
14,1736094980.8584807,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,56453206016
15,1736094981.8604248,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,58109583360
16,1736094982.8614306,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.2,59728510976
17,1736094983.863382,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.0,61122449408
18,1736094984.8654218,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.2,62673276928
19,1736094985.8692815,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,64356749312
20,1736094986.8713474,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,66002460672
21,1736094987.873298,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.6,67575382016
22,1736094988.875305,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.3,69208236032
23,1736094989.877239,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.3,70712573952
24,1736094990.8792357,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.1,72168157184
25,1736094991.8811674,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,73722359808
26,1736094992.8831918,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.5,75299708928
27,1736094993.8851304,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.7,76879544320
28,1736094994.88715,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,79103586304
29,1736094995.889076,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,82166046720
30,1736094996.8910594,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.3,83450687488
31,1736094997.8929968,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.7,83926552576
32,1736094998.8950312,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.5,85404295168
33,1736094999.8969843,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.4,86856388608
34,1736095000.898978,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,88303427584
35,1736095001.9008384,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.6,89741586432
