iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,55.880191802978516,552961536,368641536
1,48.55302429199219,552961536,368641536
2,58.28028869628906,552961536,368641536
3,48.003936767578125,552961536,368641536
4,48.063232421875,552961536,368641536
5,51.59312057495117,552961536,368641536
6,47.78083038330078,552961536,368641536
7,48.096641540527344,552961536,368641536
8,48.72991943359375,552961536,368641536
9,49.254878997802734,552961536,368641536
10,50.31625747680664,552961536,368641536
11,52.806785583496094,552961536,368641536
12,47.729793548583984,552961536,368641536
13,48.608001708984375,552961536,368641536
14,47.50940704345703,552961536,368641536
15,47.33216094970703,552961536,368641536
16,58.3620491027832,552961536,368641536
17,47.273441314697266,552961536,368641536
18,47.47455978393555,552961536,368641536
19,47.175167083740234,552961536,368641536
20,48.93983840942383,552961536,368641536
21,47.53580856323242,552961536,368641536
22,47.09516906738281,552961536,368641536
23,47.46134567260742,552961536,368641536
24,48.50624084472656,552961536,368641536
25,48.440895080566406,552961536,368641536
26,47.374881744384766,552961536,368641536
27,49.20937728881836,552961536,368641536
28,47.85148620605469,552961536,368641536
29,47.476383209228516,552961536,368641536
30,47.18764877319336,552961536,368641536
31,48.68739318847656,552961536,368641536
32,50.578529357910156,552961536,368641536
33,48.017311096191406,552961536,368641536
34,49.97510528564453,552961536,368641536
35,47.51433563232422,552961536,368641536
36,47.87071990966797,552961536,368641536
37,48.240447998046875,552961536,368641536
38,48.01785659790039,552961536,368641536
39,57.861087799072266,552961536,368641536
40,48.0524787902832,552961536,368641536
41,48.32099151611328,552961536,368641536
42,49.098270416259766,552961536,368641536
43,57.395423889160156,552961536,368641536
44,47.90041732788086,552961536,368641536
45,47.68912124633789,552961536,368641536
46,50.31155014038086,552961536,368641536
47,60.19036865234375,552961536,368641536
48,51.8963508605957,552961536,368641536
49,47.72351837158203,552961536,368641536
50,47.75199890136719,552961536,368641536
51,47.91097640991211,552961536,368641536
52,47.5464973449707,552961536,368641536
53,63.16921615600586,552961536,368641536
54,47.869598388671875,552961536,368641536
55,48.73168182373047,552961536,368641536
56,47.42985534667969,552961536,368641536
57,57.84774398803711,552961536,368641536
58,47.51628875732422,552961536,368641536
59,47.739871978759766,552961536,368641536
60,57.63017654418945,552961536,368641536
61,47.21443176269531,552961536,368641536
62,47.297889709472656,552961536,368641536
63,49.6223030090332,552961536,368641536
64,47.67465591430664,552961536,368641536
65,47.684574127197266,552961536,368641536
66,47.85744094848633,552961536,368641536
67,51.77363204956055,552961536,368641536
68,47.52928161621094,552961536,368641536
69,47.39225769042969,552961536,368641536
70,47.48262405395508,552961536,368641536
71,47.586368560791016,552961536,368641536
72,49.24335861206055,552961536,368641536
73,47.87052917480469,552961536,368641536
74,47.25107192993164,552961536,368641536
75,47.756927490234375,552961536,368641536
76,47.5978889465332,552961536,368641536
77,47.29100799560547,552961536,368641536
78,53.82112121582031,552961536,368641536
79,50.96745681762695,552961536,368641536
80,47.434593200683594,552961536,368641536
81,47.40195083618164,552961536,368641536
82,47.934654235839844,552961536,368641536
83,49.00348663330078,552961536,368641536
84,47.59564971923828,552961536,368641536
85,47.5654411315918,552961536,368641536
86,48.00726318359375,552961536,368641536
87,47.581504821777344,552961536,368641536
88,47.9989128112793,552961536,368641536
89,63.5338249206543,552961536,368641536
90,52.26790237426758,552961536,368641536
91,50.593345642089844,552961536,368641536
92,49.29558563232422,552961536,368641536
93,47.9633903503418,552961536,368641536
94,50.50102233886719,552961536,368641536
95,48.2911376953125,552961536,368641536
96,48.03327941894531,552961536,368641536
97,47.584129333496094,552961536,368641536
98,61.45158386230469,552961536,368641536
99,47.77964782714844,552961536,368641536
