,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735862808.3972409,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",0.0,154757566464
1,1735862809.404377,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",24.9,155095928832
2,1735862810.4063914,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",17.8,155980300288
3,1735862811.4084997,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",15.7,156640460800
4,1735862812.4133658,"[0, 2, 0, 2]","[928710656, 1375731712, 1368653824, 1368653824]",14.3,156736319488
5,1735862813.415578,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.6,157397565440
6,1735862814.4174886,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.3,158021246976
7,1735862815.4193249,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",15.6,158623555584
8,1735862816.4212296,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",37.4,160007540736
9,1735862817.4232225,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",99.0,162187276288
10,1735862818.4253204,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.4,163479875584
11,1735862819.4272711,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.7,165055979520
12,1735862820.4292707,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,167009763328
13,1735862821.4311967,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.4,169238110208
14,1735862822.4331582,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.3,170384732160
15,1735862823.4350386,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.2,172593360896
16,1735862824.4360604,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.7,173778919424
17,1735862825.4381118,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.2,175819452416
18,1735862826.4400563,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.6,177623982080
19,1735862827.441954,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.3,179661103104
20,1735862828.4439325,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.1,181674569728
21,1735862829.4458754,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.6,182336720896
22,1735862830.4477813,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.5,184485732352
23,1735862831.449739,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.8,185966440448
24,1735862832.4516256,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.2,187942121472
25,1735862833.4536455,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.2,189713145856
26,1735862834.455639,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.3,190901637120
27,1735862835.4576817,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.5,192568254464
28,1735862836.4599779,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.6,193841758208
29,1735862837.4640408,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.4,195772268544
30,1735862838.4659843,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.9,197803675648
31,1735862839.4720483,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.6,199155658752
32,1735862840.4742138,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.9,200934887424
33,1735862841.4760475,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.6,201967726592
34,1735862842.4780905,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.3,204461277184
35,1735862843.4800565,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.1,205811372032
36,1735862844.484039,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.6,207952117760
37,1735862845.486115,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.3,209137160192
38,1735862846.488061,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.0,211762061312
39,1735862847.4901195,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.2,212243857408
40,1735862848.4920356,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.3,213922041856
41,1735862849.4939492,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.2,215411404800
42,1735862850.4959085,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",78.8,216592957440
43,1735862851.497958,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.9,218099322880
44,1735862852.499859,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.0,219190251520
45,1735862853.5018218,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.6,220339228672
46,1735862854.5037062,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.8,221847117824
47,1735862855.5056434,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",78.6,223202361344
48,1735862856.5075116,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.7,225054810112
49,1735862857.5095701,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",79.1,226577301504
50,1735862858.5114584,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.2,227690745856
51,1735862859.5133984,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",78.0,229133996032
52,1735862860.517344,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.3,230552117248
53,1735862861.5193877,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.6,232009109504
54,1735862862.5215452,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.0,232835182592
55,1735862863.5236037,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.5,234393178112
56,1735862864.52571,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.7,236495765504
57,1735862865.5278325,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",79.0,237913022464
58,1735862866.5298235,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",71.9,238673080320
59,1735862867.5318162,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",74.7,239454482432
60,1735862868.5338585,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.9,240769744896
61,1735862869.5357523,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",69.9,242622373888
62,1735862870.5374117,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.4,244139888640
63,1735862871.539307,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.7,245232685056
64,1735862872.5412397,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",78.8,246679035904
65,1735862873.5432374,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",73.7,247993507840
66,1735862874.5453491,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",73.4,249327722496
67,1735862875.5472376,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.4,250969980928
68,1735862876.5480456,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.2,252378304512
69,1735862877.5500839,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.2,257028730880
70,1735862878.5520463,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",79.9,258217992192
71,1735862879.554102,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.8,259865698304
72,1735862880.5561352,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",73.4,260926541824
73,1735862881.5581424,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",78.8,261789884416
74,1735862882.5600536,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.3,264568434688
75,1735862883.5619814,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.2,265081155584
76,1735862884.564044,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.3,266663493632
77,1735862885.5661137,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",74.6,267461804032
78,1735862886.5680523,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.9,268849594368
79,1735862887.5699549,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.7,269612445696
80,1735862888.5719483,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.7,271258652672
81,1735862889.5740366,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.9,272736808960
82,1735862890.576059,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",83.0,274137063424
83,1735862891.5833077,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.8,276557598720
84,1735862892.585577,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.4,277113126912
85,1735862893.5875392,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.8,279166894080
86,1735862894.589581,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.8,280236900352
87,1735862895.5915484,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.1,281235017728
88,1735862896.5935113,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",79.9,279675781120
89,1735862897.5955124,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.0,281170169856
90,1735862898.5975306,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.0,282728312832
91,1735862899.5995104,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.4,283713806336
92,1735862900.6015286,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.4,285376704512
93,1735862901.60396,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.0,285859532800
94,1735862902.6059842,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.9,285020545024
95,1735862903.6078784,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.2,286327320576
96,1735862904.6097898,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.4,287693058048
97,1735862905.6115577,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.3,284743028736
98,1735862906.613428,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.2,286917562368
99,1735862907.6154,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.3,288189730816
100,1735862908.617319,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.3,288652562432
101,1735862909.619253,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",75.8,289575874560
102,1735862910.6213882,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.4,291378790400
103,1735862911.6234164,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.5,291827322880
104,1735862912.625495,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",72.7,290075750400
105,1735862913.6275003,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",80.1,291963973632
106,1735862914.6298056,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.2,291701497856
107,1735862915.6316743,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",83.1,292817874944
108,1735862916.6336546,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.8,292753502208
109,1735862917.6354563,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",77.2,292209127424
110,1735862918.638102,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",76.8,291202760704
111,1735862919.6401453,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",49.3,284877131776
112,1735862920.642145,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",62.3,281304432640
113,1735862921.644055,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.1,281568813056
114,1735862922.6459844,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",82.8,279555219456
115,1735862923.647788,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.5,279673683968
116,1735862924.6495574,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.0,279416655872
117,1735862925.6513717,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",83.6,277674209280
118,1735862926.6533732,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.1,277575577600
119,1735862927.6552532,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.8,275565772800
