,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736023859.0857422,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,32110698496
1,1736023860.091307,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",19.3,32919314432
2,1736023861.093311,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",9.5,33179820032
3,1736023862.0953383,"[0, 0, 0, 0]","[928710656, 928710656, 945946624, 928710656]",10.6,33542737920
4,1736023863.1078413,"[0, 2, 0, 2]","[928710656, 1368653824, 1368653824, 1368653824]",7.7,33905238016
5,1736023864.1098158,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.4,34160054272
6,1736023865.111316,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.7,34178228224
7,1736023866.1133258,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.9,34151260160
8,1736023867.1153052,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",43.0,36958363648
9,1736023868.1172693,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.4,38524215296
10,1736023869.1192043,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,40282128384
11,1736023870.1233048,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.0,41992470528
12,1736023871.1252494,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,43718037504
13,1736023872.1272197,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,45323304960
14,1736023873.1292157,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.8,46938791936
15,1736023874.1311839,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,48530612224
16,1736023875.1332326,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.8,50133512192
17,1736023876.1351085,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,51770368000
18,1736023877.1371622,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.5,53351460864
19,1736023878.1391976,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.8,55010242560
20,1736023879.141233,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.3,56615321600
21,1736023880.14322,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,58269962240
22,1736023881.1452286,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.2,59901661184
23,1736023882.1472054,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.8,61362450432
24,1736023883.1492362,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.2,63008145408
25,1736023884.1511388,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.6,64616767488
26,1736023885.1531901,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.3,66159828992
27,1736023886.1550648,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.9,67706847232
28,1736023887.1571186,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.1,69470400512
