,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735916615.152357,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,24297598976
1,1735916616.1586366,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",13.1,25067798528
2,1735916617.1607406,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.2,25187962880
3,1735916618.1628146,"[0, 2, 0, 0]","[928710656, 1368653824, 928710656, 928710656]",2.1,25535258624
4,1735916619.1662161,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.5,25924374528
5,1735916620.1682181,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.7,26080927744
6,1735916621.1702116,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",9.5,26056380416
7,1735916622.1712952,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",12.1,26151743488
8,1735916623.1732106,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",75.9,33743306752
9,1735916624.1751492,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,35576631296
10,1735916625.177175,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,37410926592
11,1735916626.1833014,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.9,39888908288
12,1735916627.1852858,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.1,41704833024
13,1735916628.1872287,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.2,43494842368
14,1735916629.1892042,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.6,45284507648
15,1735916630.19116,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,47153315840
16,1735916631.1931741,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.5,49583181824
17,1735916632.195123,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,52334170112
18,1735916633.1971583,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,53999276032
19,1735916634.1991074,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.5,55740063744
20,1735916635.2011206,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.4,57481666560
21,1735916636.2030635,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,60228984832
22,1735916637.2050693,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,62175989760
23,1735916638.2071383,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,64055840768
24,1735916639.2091382,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,65789071360
25,1735916640.2111201,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,67593515008
26,1735916641.2131608,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.2,69306155008
27,1735916642.2150924,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,71088455680
28,1735916643.21701,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.3,73053765632
29,1735916644.2189844,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",86.9,80145772544
