iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,53.847999572753906,552961536,368641536
1,52.58367919921875,552961536,368641536
2,46.75193786621094,552961536,368641536
3,47.28412628173828,552961536,368641536
4,46.97817611694336,552961536,368641536
5,47.00678253173828,552961536,368641536
6,47.09526443481445,552961536,368641536
7,47.43209457397461,552961536,368641536
8,46.39699172973633,552961536,368641536
9,45.81379318237305,552961536,368641536
10,46.79884719848633,552961536,368641536
11,46.53587341308594,552961536,368641536
12,47.61030578613281,552961536,368641536
13,47.395870208740234,552961536,368641536
14,46.50080108642578,552961536,368641536
15,45.82374572753906,552961536,368641536
16,47.24755096435547,552961536,368641536
17,46.32108688354492,552961536,368641536
18,46.866336822509766,552961536,368641536
19,46.65788650512695,552961536,368641536
20,45.945343017578125,552961536,368641536
21,46.123966217041016,552961536,368641536
22,46.87980651855469,552961536,368641536
23,46.875999450683594,552961536,368641536
24,47.237022399902344,552961536,368641536
25,46.247230529785156,552961536,368641536
26,46.65430450439453,552961536,368641536
27,46.68950271606445,552961536,368641536
28,45.947776794433594,552961536,368641536
29,46.0118408203125,552961536,368641536
30,46.76211166381836,552961536,368641536
31,45.50783920288086,552961536,368641536
32,45.94512176513672,552961536,368641536
33,46.34815979003906,552961536,368641536
34,46.891265869140625,552961536,368641536
35,45.88617706298828,552961536,368641536
36,45.88838577270508,552961536,368641536
37,46.64780807495117,552961536,368641536
38,46.563838958740234,552961536,368641536
39,47.727134704589844,552961536,368641536
40,46.72723388671875,552961536,368641536
41,46.33881759643555,552961536,368641536
42,45.74796676635742,552961536,368641536
43,46.290977478027344,552961536,368641536
44,45.78105545043945,552961536,368641536
45,45.63475036621094,552961536,368641536
46,48.23097610473633,552961536,368641536
47,46.645694732666016,552961536,368641536
48,46.23139190673828,552961536,368641536
49,46.83030319213867,552961536,368641536
50,45.67145538330078,552961536,368641536
51,45.77366256713867,552961536,368641536
52,45.87443161010742,552961536,368641536
53,45.633697509765625,552961536,368641536
54,45.699039459228516,552961536,368641536
55,45.55046463012695,552961536,368641536
56,45.691551208496094,552961536,368641536
57,46.34812927246094,552961536,368641536
58,46.37449645996094,552961536,368641536
59,46.50227355957031,552961536,368641536
60,47.05209732055664,552961536,368641536
61,46.379520416259766,552961536,368641536
62,45.87628936767578,552961536,368641536
63,46.3488655090332,552961536,368641536
64,45.76931381225586,552961536,368641536
65,46.922462463378906,552961536,368641536
66,45.461280822753906,552961536,368641536
67,46.205055236816406,552961536,368641536
68,46.47727966308594,552961536,368641536
69,46.97596740722656,552961536,368641536
70,47.6530876159668,552961536,368641536
71,46.3653450012207,552961536,368641536
72,45.858558654785156,552961536,368641536
73,46.34796905517578,552961536,368641536
74,45.634559631347656,552961536,368641536
75,47.02272033691406,552961536,368641536
76,46.52803039550781,552961536,368641536
77,46.029537200927734,552961536,368641536
78,46.61836624145508,552961536,368641536
79,45.73334503173828,552961536,368641536
80,46.62355041503906,552961536,368641536
81,46.00864028930664,552961536,368641536
82,45.778465270996094,552961536,368641536
83,46.56934356689453,552961536,368641536
84,46.22035217285156,552961536,368641536
85,46.76300811767578,552961536,368641536
86,45.77695846557617,552961536,368641536
87,47.38265609741211,552961536,368641536
88,46.493247985839844,552961536,368641536
89,45.60073471069336,552961536,368641536
90,46.73817443847656,552961536,368641536
91,45.779327392578125,552961536,368641536
92,47.699424743652344,552961536,368641536
93,46.355934143066406,552961536,368641536
94,46.10108947753906,552961536,368641536
95,46.79395294189453,552961536,368641536
96,46.031455993652344,552961536,368641536
97,46.688385009765625,552961536,368641536
98,45.806976318359375,552961536,368641536
99,47.077152252197266,552961536,368641536
