iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,30.271072387695312,4609536,3073536
1,30.514848709106445,4609536,3073536
2,34.94825744628906,4609536,3073536
3,30.797536849975586,4609536,3073536
4,30.596160888671875,4609536,3073536
5,31.5001277923584,4609536,3073536
6,36.10134506225586,4609536,3073536
7,30.9171199798584,4609536,3073536
8,32.117374420166016,4609536,3073536
9,30.935104370117188,4609536,3073536
10,37.84249496459961,4609536,3073536
11,31.666112899780273,4609536,3073536
12,33.71104049682617,4609536,3073536
13,31.078271865844727,4609536,3073536
14,34.579776763916016,4609536,3073536
15,30.371423721313477,4609536,3073536
16,30.241151809692383,4609536,3073536
17,32.388702392578125,4609536,3073536
18,31.306528091430664,4609536,3073536
19,32.11113739013672,4609536,3073536
20,32.36995315551758,4609536,3073536
21,31.416671752929688,4609536,3073536
22,30.259904861450195,4609536,3073536
23,30.58051109313965,4609536,3073536
24,31.385696411132812,4609536,3073536
25,30.344255447387695,4609536,3073536
26,31.96201515197754,4609536,3073536
27,31.248096466064453,4609536,3073536
28,29.792640686035156,4609536,3073536
29,39.76639938354492,4609536,3073536
30,72.73414611816406,4609536,3073536
31,30.71126365661621,4609536,3073536
32,31.03945541381836,4609536,3073536
33,30.693695068359375,4609536,3073536
34,30.499103546142578,4609536,3073536
35,32.347103118896484,4609536,3073536
36,30.578079223632812,4609536,3073536
37,30.827167510986328,4609536,3073536
38,30.287551879882812,4609536,3073536
39,29.52569580078125,4609536,3073536
40,32.013248443603516,4609536,3073536
41,41.76758575439453,4609536,3073536
42,30.077856063842773,4609536,3073536
43,30.253952026367188,4609536,3073536
44,30.747167587280273,4609536,3073536
45,34.7011833190918,4609536,3073536
46,30.23036766052246,4609536,3073536
47,31.469472885131836,4609536,3073536
48,30.041120529174805,4609536,3073536
49,30.81328010559082,4609536,3073536
50,32.97030258178711,4609536,3073536
51,30.7108154296875,4609536,3073536
52,30.71107292175293,4609536,3073536
53,30.333120346069336,4609536,3073536
54,31.287071228027344,4609536,3073536
55,31.33135986328125,4609536,3073536
56,30.089248657226562,4609536,3073536
57,31.272192001342773,4609536,3073536
58,31.178848266601562,4609536,3073536
59,30.176767349243164,4609536,3073536
60,30.547391891479492,4609536,3073536
61,32.60044860839844,4609536,3073536
62,32.09695816040039,4609536,3073536
63,30.343711853027344,4609536,3073536
64,30.915327072143555,4609536,3073536
65,31.527328491210938,4609536,3073536
66,30.611936569213867,4609536,3073536
67,30.3156795501709,4609536,3073536
68,32.252960205078125,4609536,3073536
69,30.636159896850586,4609536,3073536
70,30.6592960357666,4609536,3073536
71,30.99545669555664,4609536,3073536
72,30.17184066772461,4609536,3073536
73,31.125247955322266,4609536,3073536
74,30.194976806640625,4609536,3073536
75,31.669055938720703,4609536,3073536
76,31.693695068359375,4609536,3073536
77,29.730079650878906,4609536,3073536
78,30.90790367126465,4609536,3073536
79,31.006080627441406,4609536,3073536
80,30.644319534301758,4609536,3073536
81,30.59993553161621,4609536,3073536
82,30.329792022705078,4609536,3073536
83,30.515424728393555,4609536,3073536
84,30.275136947631836,4609536,3073536
85,30.186784744262695,4609536,3073536
86,31.554975509643555,4609536,3073536
87,31.621408462524414,4609536,3073536
88,31.887775421142578,4609536,3073536
89,30.031583786010742,4609536,3073536
90,29.911264419555664,4609536,3073536
91,31.318815231323242,4609536,3073536
92,31.94972801208496,4609536,3073536
93,31.150848388671875,4609536,3073536
94,30.206335067749023,4609536,3073536
95,31.03536033630371,4609536,3073536
96,30.50806427001953,4609536,3073536
97,30.262304306030273,4609536,3073536
98,30.43075180053711,4609536,3073536
99,30.66908836364746,4609536,3073536
