iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,33.730560302734375,4609536,3073536
1,34.03513717651367,4609536,3073536
2,33.422462463378906,4609536,3073536
3,34.21593475341797,4609536,3073536
4,33.75203323364258,4609536,3073536
5,38.328895568847656,4609536,3073536
6,38.528385162353516,4609536,3073536
7,39.39632034301758,4609536,3073536
8,36.32636642456055,4609536,3073536
9,33.615840911865234,4609536,3073536
10,33.18751907348633,4609536,3073536
11,33.06291198730469,4609536,3073536
12,33.44255828857422,4609536,3073536
13,33.77219009399414,4609536,3073536
14,34.18143844604492,4609536,3073536
15,33.88700866699219,4609536,3073536
16,33.676639556884766,4609536,3073536
17,33.26911926269531,4609536,3073536
18,33.148414611816406,4609536,3073536
19,33.131553649902344,4609536,3073536
20,32.57017517089844,4609536,3073536
21,33.388031005859375,4609536,3073536
22,33.68345642089844,4609536,3073536
23,33.36707305908203,4609536,3073536
24,32.97897720336914,4609536,3073536
25,33.45167922973633,4609536,3073536
26,33.17728042602539,4609536,3073536
27,33.63449478149414,4609536,3073536
28,32.779296875,4609536,3073536
29,33.035423278808594,4609536,3073536
30,33.452415466308594,4609536,3073536
31,32.59747314453125,4609536,3073536
32,33.40809631347656,4609536,3073536
33,33.01081466674805,4609536,3073536
34,33.313438415527344,4609536,3073536
35,33.59030532836914,4609536,3073536
36,33.360416412353516,4609536,3073536
37,32.724159240722656,4609536,3073536
38,32.78623962402344,4609536,3073536
39,33.45084762573242,4609536,3073536
40,33.247840881347656,4609536,3073536
41,33.96480178833008,4609536,3073536
42,33.51558303833008,4609536,3073536
43,33.43436813354492,4609536,3073536
44,32.85222244262695,4609536,3073536
45,32.73017501831055,4609536,3073536
46,32.5164794921875,4609536,3073536
47,33.6695671081543,4609536,3073536
48,32.796512603759766,4609536,3073536
49,33.432289123535156,4609536,3073536
50,32.68278503417969,4609536,3073536
51,33.51385498046875,4609536,3073536
52,32.96745681762695,4609536,3073536
53,33.17270278930664,4609536,3073536
54,33.407230377197266,4609536,3073536
55,33.12384033203125,4609536,3073536
56,32.56889724731445,4609536,3073536
57,33.26998519897461,4609536,3073536
58,32.7630729675293,4609536,3073536
59,32.83321762084961,4609536,3073536
60,33.02150344848633,4609536,3073536
61,32.857505798339844,4609536,3073536
62,33.05094528198242,4609536,3073536
63,32.83571243286133,4609536,3073536
64,33.630943298339844,4609536,3073536
65,35.12275314331055,4609536,3073536
66,33.34540939331055,4609536,3073536
67,33.25279998779297,4609536,3073536
68,33.38220977783203,4609536,3073536
69,34.04326248168945,4609536,3073536
70,33.5195198059082,4609536,3073536
71,32.90447998046875,4609536,3073536
72,33.7476806640625,4609536,3073536
73,34.69526290893555,4609536,3073536
74,33.91689682006836,4609536,3073536
75,33.94668960571289,4609536,3073536
76,33.437503814697266,4609536,3073536
77,33.24803161621094,4609536,3073536
78,32.744415283203125,4609536,3073536
79,32.646366119384766,4609536,3073536
80,33.02473449707031,4609536,3073536
81,33.13283157348633,4609536,3073536
82,32.98944091796875,4609536,3073536
83,33.69180679321289,4609536,3073536
84,33.23020935058594,4609536,3073536
85,33.5682258605957,4609536,3073536
86,33.057857513427734,4609536,3073536
87,33.47670364379883,4609536,3073536
88,33.1385612487793,4609536,3073536
89,34.575679779052734,4609536,3073536
90,32.5926399230957,4609536,3073536
91,33.075775146484375,4609536,3073536
92,33.48249435424805,4609536,3073536
93,33.85615921020508,4609536,3073536
94,33.72188949584961,4609536,3073536
95,33.68025588989258,4609536,3073536
96,33.788673400878906,4609536,3073536
97,33.285118103027344,4609536,3073536
98,33.031009674072266,4609536,3073536
99,34.27008056640625,4609536,3073536
