iteration,latency (s)
0,0.5884561538696289
1,0.5891077518463135
2,0.5785021781921387
3,0.5901544094085693
4,0.5779500007629395
5,0.5781538486480713
6,0.5761756896972656
7,0.574225902557373
8,0.5782759189605713
9,0.5774490833282471
10,0.5748000144958496
11,0.8578805923461914
12,0.5763251781463623
13,0.5875790119171143
14,0.5814526081085205
15,0.7817554473876953
16,0.5737290382385254
17,0.7731723785400391
18,0.5769455432891846
19,0.5858538150787354
20,0.5793724060058594
21,0.5739707946777344
22,0.5776064395904541
23,0.5731687545776367
24,0.5716383457183838
25,0.5737500190734863
26,0.5733010768890381
27,0.5726191997528076
28,0.5741655826568604
29,0.5761187076568604
30,0.5697348117828369
31,0.5704398155212402
32,0.5707800388336182
33,0.5676107406616211
34,0.5783963203430176
35,0.5800869464874268
36,0.5700745582580566
37,0.5685775279998779
38,0.5680620670318604
39,0.5724992752075195
40,0.5703649520874023
41,0.5684928894042969
42,0.5734529495239258
43,0.5673398971557617
44,0.5797245502471924
45,0.576509952545166
46,0.5808024406433105
47,0.576326847076416
48,0.5691533088684082
49,0.5708496570587158
50,0.5723843574523926
51,0.5786609649658203
52,0.5680794715881348
53,0.571164608001709
54,0.5715148448944092
55,0.5713951587677002
56,0.571990966796875
57,0.5678095817565918
58,0.5697522163391113
59,0.5676138401031494
60,0.5695276260375977
61,0.5726609230041504
62,0.5747900009155273
63,0.5724215507507324
64,0.5656938552856445
65,0.5715913772583008
66,0.5779674053192139
67,0.571692943572998
68,0.5731565952301025
69,0.5788607597351074
70,0.5707464218139648
71,0.5695598125457764
72,0.5705306529998779
73,0.5672805309295654
74,0.5733368396759033
75,0.565955400466919
76,0.5692834854125977
77,0.5689530372619629
78,0.5672581195831299
79,0.5729708671569824
80,0.5684051513671875
81,0.5682973861694336
82,0.5718083381652832
83,0.5680892467498779
84,0.5744013786315918
85,0.5697951316833496
86,0.5673389434814453
87,0.5674703121185303
88,0.5702447891235352
89,0.7293140888214111
90,0.5725970268249512
91,0.5711143016815186
92,0.575822114944458
93,0.5730686187744141
94,0.5714192390441895
95,0.5661160945892334
96,0.569413423538208
97,0.5781979560852051
98,0.5833978652954102
99,0.5753567218780518
