iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,51.93756866455078,552961536,368641536
1,49.47942352294922,552961536,368641536
2,52.48031997680664,552961536,368641536
3,48.24467086791992,552961536,368641536
4,48.148193359375,552961536,368641536
5,47.84672164916992,552961536,368641536
6,53.059776306152344,552961536,368641536
7,48.45539093017578,552961536,368641536
8,47.799903869628906,552961536,368641536
9,48.398529052734375,552961536,368641536
10,48.78566360473633,552961536,368641536
11,50.058815002441406,552961536,368641536
12,50.69251251220703,552961536,368641536
13,47.973121643066406,552961536,368641536
14,47.5838737487793,552961536,368641536
15,48.14966583251953,552961536,368641536
16,49.03664016723633,552961536,368641536
17,48.2672004699707,552961536,368641536
18,48.49135971069336,552961536,368641536
19,53.014625549316406,552961536,368641536
20,48.54198455810547,552961536,368641536
21,48.29056167602539,552961536,368641536
22,48.375614166259766,552961536,368641536
23,48.13087844848633,552961536,368641536
24,47.902591705322266,552961536,368641536
25,47.80531311035156,552961536,368641536
26,48.198753356933594,552961536,368641536
27,48.23699188232422,552961536,368641536
28,47.99103927612305,552961536,368641536
29,47.55561447143555,552961536,368641536
30,47.81158447265625,552961536,368641536
31,47.71753692626953,552961536,368641536
32,47.40086364746094,552961536,368641536
33,47.4640007019043,552961536,368641536
34,47.543392181396484,552961536,368641536
35,47.2279052734375,552961536,368641536
36,47.22848129272461,552961536,368641536
37,47.7883186340332,552961536,368641536
38,55.82320022583008,552961536,368641536
39,47.34233474731445,552961536,368641536
40,47.74857711791992,552961536,368641536
41,48.08643341064453,552961536,368641536
42,48.356544494628906,552961536,368641536
43,47.525630950927734,552961536,368641536
44,47.083839416503906,552961536,368641536
45,46.939903259277344,552961536,368641536
46,47.43241500854492,552961536,368641536
47,47.1591682434082,552961536,368641536
48,46.79529571533203,552961536,368641536
49,47.80694580078125,552961536,368641536
50,46.97663879394531,552961536,368641536
51,47.170433044433594,552961536,368641536
52,47.09366226196289,552961536,368641536
53,47.084896087646484,552961536,368641536
54,47.58528137207031,552961536,368641536
55,47.235328674316406,552961536,368641536
56,48.42851257324219,552961536,368641536
57,47.5951042175293,552961536,368641536
58,47.74204635620117,552961536,368641536
59,47.54108810424805,552961536,368641536
60,47.31897735595703,552961536,368641536
61,47.25263977050781,552961536,368641536
62,46.962528228759766,552961536,368641536
63,47.04947280883789,552961536,368641536
64,47.35184097290039,552961536,368641536
65,47.01161575317383,552961536,368641536
66,47.68598556518555,552961536,368641536
67,47.2935676574707,552961536,368641536
68,47.529632568359375,552961536,368641536
69,47.46406555175781,552961536,368641536
70,47.294559478759766,552961536,368641536
71,47.32659149169922,552961536,368641536
72,47.49977493286133,552961536,368641536
73,47.58796691894531,552961536,368641536
74,47.37558364868164,552961536,368641536
75,47.66672134399414,552961536,368641536
76,47.80003356933594,552961536,368641536
77,47.36211013793945,552961536,368641536
78,47.342655181884766,552961536,368641536
79,47.37142562866211,552961536,368641536
80,47.0601921081543,552961536,368641536
81,47.030399322509766,552961536,368641536
82,47.74844741821289,552961536,368641536
83,47.20684814453125,552961536,368641536
84,47.235233306884766,552961536,368641536
85,48.21014404296875,552961536,368641536
86,47.45926284790039,552961536,368641536
87,47.310142517089844,552961536,368641536
88,47.35619354248047,552961536,368641536
89,47.20556640625,552961536,368641536
90,47.534751892089844,552961536,368641536
91,47.19347381591797,552961536,368641536
92,47.09564971923828,552961536,368641536
93,47.68035125732422,552961536,368641536
94,47.044193267822266,552961536,368641536
95,47.00307083129883,552961536,368641536
96,47.01571273803711,552961536,368641536
97,46.910240173339844,552961536,368641536
98,47.174110412597656,552961536,368641536
99,47.18035125732422,552961536,368641536
