,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735865320.0114048,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",29.4,53729484800
1,1735865321.0180535,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",25.9,54477791232
2,1735865322.0200644,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",14.4,54752071680
3,1735865323.0220478,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",11.2,55028129792
4,1735865324.0265214,"[0, 0, 3, 0]","[928710656, 1375731712, 1368653824, 1368653824]",10.8,55415521280
5,1735865325.0280366,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",14.0,55659765760
6,1735865326.0301797,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",15.2,55672475648
7,1735865327.0322013,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.7,55678373888
8,1735865328.0343938,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",48.9,58553688064
9,1735865329.0360463,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.6,59990597632
10,1735865330.0380623,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,61683810304
11,1735865331.0400531,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.6,63317716992
12,1735865332.0420172,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.2,65000357888
13,1735865333.0439684,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.1,66660122624
14,1735865334.0459845,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.1,68182720512
15,1735865335.047964,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.6,69682487296
16,1735865336.0509577,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.3,71356837888
17,1735865337.0520387,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.1,73421135872
18,1735865338.0540047,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.5,74876768256
19,1735865339.0559459,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.6,76319330304
20,1735865340.0580077,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.3,77676912640
21,1735865341.059956,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.0,79213395968
22,1735865342.0619962,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.8,80690741248
23,1735865343.0640607,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.8,82089811968
24,1735865344.066061,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.8,83576832000
25,1735865345.068039,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.2,85036261376
26,1735865346.0700517,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.7,86560858112
27,1735865347.0754545,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",90.2,88459644928
28,1735865348.0776637,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",92.4,90221871104
29,1735865349.0796163,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.9,93840551936
30,1735865350.0817947,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.1,99956277248
31,1735865351.0837939,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.7,103721799680
32,1735865352.085747,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.0,105583489024
33,1735865353.0876205,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.5,107071516672
34,1735865354.08959,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.8,108901605376
35,1735865355.091426,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.6,110275600384
36,1735865356.0934234,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.0,111548760064
37,1735865357.0945365,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.6,112956747776
38,1735865358.0960417,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.3,114243891200
39,1735865359.0980382,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.9,115597352960
40,1735865360.1000426,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.7,116937687040
41,1735865361.1019294,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",83.1,118112550912
42,1735865362.10392,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.1,119363112960
43,1735865363.1059375,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",81.9,120456986624
44,1735865364.1080399,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.2,121505177600
45,1735865365.110018,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.1,122917916672
