iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,59.95510482788086,995329536,663553536
1,57.13238525390625,995329536,663553536
2,52.352928161621094,995329536,663553536
3,57.63926315307617,995329536,663553536
4,53.310142517089844,995329536,663553536
5,54.247135162353516,995329536,663553536
6,52.09481430053711,995329536,663553536
7,52.01273727416992,995329536,663553536
8,51.78556823730469,995329536,663553536
9,55.656063079833984,995329536,663553536
10,51.766273498535156,995329536,663553536
11,53.73855972290039,995329536,663553536
12,52.693824768066406,995329536,663553536
13,52.70198440551758,995329536,663553536
14,56.17289733886719,995329536,663553536
15,53.967681884765625,995329536,663553536
16,65.87712097167969,995329536,663553536
17,52.617088317871094,995329536,663553536
18,54.62255859375,995329536,663553536
19,52.8678092956543,995329536,663553536
20,51.9791374206543,995329536,663553536
21,333.5375061035156,995329536,663553536
22,51.97772979736328,995329536,663553536
23,51.55081558227539,995329536,663553536
24,51.98735809326172,995329536,663553536
25,54.204959869384766,995329536,663553536
26,51.31011199951172,995329536,663553536
27,51.766944885253906,995329536,663553536
28,52.26655960083008,995329536,663553536
29,53.82463836669922,995329536,663553536
30,53.072608947753906,995329536,663553536
31,53.271297454833984,995329536,663553536
32,51.67887878417969,995329536,663553536
33,51.89459228515625,995329536,663553536
34,53.76319885253906,995329536,663553536
35,53.50681686401367,995329536,663553536
36,52.74214553833008,995329536,663553536
37,53.55424118041992,995329536,663553536
38,51.588417053222656,995329536,663553536
39,52.482688903808594,995329536,663553536
40,51.91795349121094,995329536,663553536
41,56.93116760253906,995329536,663553536
42,56.48374557495117,995329536,663553536
43,54.27628707885742,995329536,663553536
44,53.254337310791016,995329536,663553536
45,65.89373016357422,995329536,663553536
46,53.106910705566406,995329536,663553536
47,52.669151306152344,995329536,663553536
48,54.729217529296875,995329536,663553536
49,64.02816009521484,995329536,663553536
50,58.66787338256836,995329536,663553536
51,55.924800872802734,995329536,663553536
52,52.91958236694336,995329536,663553536
53,54.103614807128906,995329536,663553536
54,54.6181755065918,995329536,663553536
55,52.33760070800781,995329536,663553536
56,52.229984283447266,995329536,663553536
57,56.53299331665039,995329536,663553536
58,53.57097625732422,995329536,663553536
59,74.92546844482422,995329536,663553536
60,51.79094314575195,995329536,663553536
61,52.04633712768555,995329536,663553536
62,55.5211181640625,995329536,663553536
63,66.86489868164062,995329536,663553536
64,53.34425735473633,995329536,663553536
65,52.551422119140625,995329536,663553536
66,51.95743942260742,995329536,663553536
67,51.92591857910156,995329536,663553536
68,51.994239807128906,995329536,663553536
69,54.11033630371094,995329536,663553536
70,55.58643341064453,995329536,663553536
71,52.53401565551758,995329536,663553536
72,52.59471893310547,995329536,663553536
73,76.4849624633789,995329536,663553536
74,51.9766731262207,995329536,663553536
75,100.9955825805664,995329536,663553536
76,52.259361267089844,995329536,663553536
77,51.81625747680664,995329536,663553536
78,51.94620895385742,995329536,663553536
79,51.74127960205078,995329536,663553536
80,51.66691207885742,995329536,663553536
81,60.151329040527344,995329536,663553536
82,55.02463912963867,995329536,663553536
83,52.31740951538086,995329536,663553536
84,53.1824951171875,995329536,663553536
85,52.05449676513672,995329536,663553536
86,52.19478225708008,995329536,663553536
87,52.86240005493164,995329536,663553536
88,51.72547149658203,995329536,663553536
89,51.658241271972656,995329536,663553536
90,51.89168167114258,995329536,663553536
91,55.03638458251953,995329536,663553536
92,52.09247970581055,995329536,663553536
93,52.055328369140625,995329536,663553536
94,53.39043045043945,995329536,663553536
95,51.86918258666992,995329536,663553536
96,51.79616165161133,995329536,663553536
97,51.956417083740234,995329536,663553536
98,52.165855407714844,995329536,663553536
99,51.855552673339844,995329536,663553536
