iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,32.29471969604492,8295936,5531136
1,37.929473876953125,8295936,5531136
2,32.65769577026367,8295936,5531136
3,38.10639953613281,8295936,5531136
4,32.58438491821289,8295936,5531136
5,31.42630386352539,8295936,5531136
6,33.30624008178711,8295936,5531136
7,32.76931381225586,8295936,5531136
8,30.964351654052734,8295936,5531136
9,33.5362548828125,8295936,5531136
10,35.44879913330078,8295936,5531136
11,31.90835189819336,8295936,5531136
12,35.28486251831055,8295936,5531136
13,32.540958404541016,8295936,5531136
14,31.164352416992188,8295936,5531136
15,31.59529685974121,8295936,5531136
16,32.10838317871094,8295936,5531136
17,32.370113372802734,8295936,5531136
18,33.847713470458984,8295936,5531136
19,32.636863708496094,8295936,5531136
20,31.428096771240234,8295936,5531136
21,35.26051330566406,8295936,5531136
22,30.73423957824707,8295936,5531136
23,31.454912185668945,8295936,5531136
24,30.837087631225586,8295936,5531136
25,32.057472229003906,8295936,5531136
26,35.76982498168945,8295936,5531136
27,44.4403190612793,8295936,5531136
28,31.7174072265625,8295936,5531136
29,32.924896240234375,8295936,5531136
30,31.337600708007812,8295936,5531136
31,32.548126220703125,8295936,5531136
32,30.451135635375977,8295936,5531136
33,33.554656982421875,8295936,5531136
34,33.084224700927734,8295936,5531136
35,33.503807067871094,8295936,5531136
36,31.398399353027344,8295936,5531136
37,44.841312408447266,8295936,5531136
38,31.00534439086914,8295936,5531136
39,35.186431884765625,8295936,5531136
40,34.25660705566406,8295936,5531136
41,33.938209533691406,8295936,5531136
42,32.59417724609375,8295936,5531136
43,36.351806640625,8295936,5531136
44,31.910367965698242,8295936,5531136
45,32.38694381713867,8295936,5531136
46,34.92278289794922,8295936,5531136
47,32.012577056884766,8295936,5531136
48,31.77952003479004,8295936,5531136
49,35.98668670654297,8295936,5531136
50,31.56243133544922,8295936,5531136
51,33.10723114013672,8295936,5531136
52,35.54627227783203,8295936,5531136
53,32.68463897705078,8295936,5531136
54,33.334815979003906,8295936,5531136
55,35.247840881347656,8295936,5531136
56,40.14486312866211,8295936,5531136
57,30.98294448852539,8295936,5531136
58,31.341951370239258,8295936,5531136
59,32.84646224975586,8295936,5531136
60,35.13516616821289,8295936,5531136
61,31.88697624206543,8295936,5531136
62,31.547744750976562,8295936,5531136
63,35.759742736816406,8295936,5531136
64,31.938304901123047,8295936,5531136
65,31.27667236328125,8295936,5531136
66,31.17375946044922,8295936,5531136
67,31.573152542114258,8295936,5531136
68,30.84694480895996,8295936,5531136
69,31.513568878173828,8295936,5531136
70,32.76784133911133,8295936,5531136
71,31.902847290039062,8295936,5531136
72,75.79232025146484,8295936,5531136
73,35.99702453613281,8295936,5531136
74,33.175262451171875,8295936,5531136
75,32.000030517578125,8295936,5531136
76,31.756351470947266,8295936,5531136
77,32.22025680541992,8295936,5531136
78,33.46041488647461,8295936,5531136
79,32.55766296386719,8295936,5531136
80,32.15574264526367,8295936,5531136
81,32.99638366699219,8295936,5531136
82,31.784448623657227,8295936,5531136
83,33.50297546386719,8295936,5531136
84,31.42406463623047,8295936,5531136
85,31.56572723388672,8295936,5531136
86,31.974336624145508,8295936,5531136
87,31.38591957092285,8295936,5531136
88,47.09660720825195,8295936,5531136
89,31.991519927978516,8295936,5531136
90,30.921823501586914,8295936,5531136
91,33.555233001708984,8295936,5531136
92,31.777408599853516,8295936,5531136
93,31.938655853271484,8295936,5531136
94,30.6757755279541,8295936,5531136
95,31.997215270996094,8295936,5531136
96,33.19142532348633,8295936,5531136
97,34.304832458496094,8295936,5531136
98,30.72150421142578,8295936,5531136
99,31.89081573486328,8295936,5531136
