iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,53.5145263671875,552961536,368641536
1,54.44121551513672,552961536,368641536
2,48.87120056152344,552961536,368641536
3,49.67353439331055,552961536,368641536
4,51.5082893371582,552961536,368641536
5,48.29606246948242,552961536,368641536
6,59.91027069091797,552961536,368641536
7,48.898433685302734,552961536,368641536
8,47.81843185424805,552961536,368641536
9,49.20489501953125,552961536,368641536
10,49.301246643066406,552961536,368641536
11,48.22777557373047,552961536,368641536
12,47.152896881103516,552961536,368641536
13,48.05811309814453,552961536,368641536
14,47.054752349853516,552961536,368641536
15,49.42585754394531,552961536,368641536
16,49.131744384765625,552961536,368641536
17,47.34921646118164,552961536,368641536
18,47.53251266479492,552961536,368641536
19,47.38060760498047,552961536,368641536
20,47.73417663574219,552961536,368641536
21,47.73596954345703,552961536,368641536
22,49.15584182739258,552961536,368641536
23,47.286720275878906,552961536,368641536
24,51.938720703125,552961536,368641536
25,47.01456069946289,552961536,368641536
26,48.717376708984375,552961536,368641536
27,48.15705490112305,552961536,368641536
28,47.86479949951172,552961536,368641536
29,56.63737487792969,552961536,368641536
30,47.63606262207031,552961536,368641536
31,47.35615921020508,552961536,368641536
32,47.091041564941406,552961536,368641536
33,48.81024169921875,552961536,368641536
34,51.65804672241211,552961536,368641536
35,47.8928337097168,552961536,368641536
36,47.61503982543945,552961536,368641536
37,62.5079345703125,552961536,368641536
38,47.04991912841797,552961536,368641536
39,47.29439926147461,552961536,368641536
40,47.17782211303711,552961536,368641536
41,48.66694259643555,552961536,368641536
42,48.019710540771484,552961536,368641536
43,47.16428756713867,552961536,368641536
44,46.97478485107422,552961536,368641536
45,47.91411209106445,552961536,368641536
46,47.04217529296875,552961536,368641536
47,47.109920501708984,552961536,368641536
48,46.66579055786133,552961536,368641536
49,47.13603210449219,552961536,368641536
50,47.10764694213867,552961536,368641536
51,46.70083236694336,552961536,368641536
52,47.06755065917969,552961536,368641536
53,47.090206146240234,552961536,368641536
54,47.072479248046875,552961536,368641536
55,47.94851303100586,552961536,368641536
56,46.920928955078125,552961536,368641536
57,47.17484664916992,552961536,368641536
58,46.88761520385742,552961536,368641536
59,47.11091232299805,552961536,368641536
60,46.95804977416992,552961536,368641536
61,46.76521682739258,552961536,368641536
62,47.86531066894531,552961536,368641536
63,47.020320892333984,552961536,368641536
64,48.346656799316406,552961536,368641536
65,47.140865325927734,552961536,368641536
66,47.31961441040039,552961536,368641536
67,47.09519958496094,552961536,368641536
68,46.942176818847656,552961536,368641536
69,47.198814392089844,552961536,368641536
70,58.57984161376953,552961536,368641536
71,48.036705017089844,552961536,368641536
72,47.6187858581543,552961536,368641536
73,46.90550231933594,552961536,368641536
74,48.348670959472656,552961536,368641536
75,47.36876678466797,552961536,368641536
76,48.27190399169922,552961536,368641536
77,48.722049713134766,552961536,368641536
78,103.2814712524414,552961536,368641536
79,47.51238250732422,552961536,368641536
80,47.60300827026367,552961536,368641536
81,56.97478485107422,552961536,368641536
82,48.4381103515625,552961536,368641536
83,48.15769577026367,552961536,368641536
84,46.99363327026367,552961536,368641536
85,47.41001510620117,552961536,368641536
86,47.011295318603516,552961536,368641536
87,46.95315170288086,552961536,368641536
88,47.19308853149414,552961536,368641536
89,58.819488525390625,552961536,368641536
90,47.53996658325195,552961536,368641536
91,47.51420974731445,552961536,368641536
92,47.03203201293945,552961536,368641536
93,47.575870513916016,552961536,368641536
94,50.02396774291992,552961536,368641536
95,47.18988800048828,552961536,368641536
96,47.29228973388672,552961536,368641536
97,47.27113723754883,552961536,368641536
98,47.300960540771484,552961536,368641536
99,60.85744094848633,552961536,368641536
