iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,26.161535263061523,4609536,3073536
1,25.9800968170166,4609536,3073536
2,27.938304901123047,4609536,3073536
3,26.16431999206543,4609536,3073536
4,26.8687686920166,4609536,3073536
5,26.359359741210938,4609536,3073536
6,27.010080337524414,4609536,3073536
7,26.261920928955078,4609536,3073536
8,26.10985565185547,4609536,3073536
9,26.071136474609375,4609536,3073536
10,26.1210880279541,4609536,3073536
11,25.910463333129883,4609536,3073536
12,29.098560333251953,4609536,3073536
13,25.895328521728516,4609536,3073536
14,27.02332878112793,4609536,3073536
15,25.776575088500977,4609536,3073536
16,25.879680633544922,4609536,3073536
17,35.65321731567383,4609536,3073536
18,25.92108726501465,4609536,3073536
19,25.78441619873047,4609536,3073536
20,26.27008056640625,4609536,3073536
21,25.9520320892334,4609536,3073536
22,41.66435241699219,4609536,3073536
23,25.75779151916504,4609536,3073536
24,25.85536003112793,4609536,3073536
25,25.759584426879883,4609536,3073536
26,25.95689582824707,4609536,3073536
27,27.15817642211914,4609536,3073536
28,25.917728424072266,4609536,3073536
29,25.82921600341797,4609536,3073536
30,25.921279907226562,4609536,3073536
31,26.013824462890625,4609536,3073536
32,31.638399124145508,4609536,3073536
33,27.792959213256836,4609536,3073536
34,25.886016845703125,4609536,3073536
35,25.877119064331055,4609536,3073536
36,26.197568893432617,4609536,3073536
37,25.83910369873047,4609536,3073536
38,25.826496124267578,4609536,3073536
39,25.81318473815918,4609536,3073536
40,25.72444725036621,4609536,3073536
41,25.72528076171875,4609536,3073536
42,26.439199447631836,4609536,3073536
43,25.87126350402832,4609536,3073536
44,25.743616104125977,4609536,3073536
45,27.179872512817383,4609536,3073536
46,25.808576583862305,4609536,3073536
47,26.027456283569336,4609536,3073536
48,34.801151275634766,4609536,3073536
49,25.99407958984375,4609536,3073536
50,25.93516731262207,4609536,3073536
51,25.75315284729004,4609536,3073536
52,25.734848022460938,4609536,3073536
53,25.92083168029785,4609536,3073536
54,25.78892707824707,4609536,3073536
55,25.68060874938965,4609536,3073536
56,25.988447189331055,4609536,3073536
57,25.778783798217773,4609536,3073536
58,25.795488357543945,4609536,3073536
59,27.18614387512207,4609536,3073536
60,25.83839988708496,4609536,3073536
61,26.24448013305664,4609536,3073536
62,27.24928092956543,4609536,3073536
63,25.634336471557617,4609536,3073536
64,26.821439743041992,4609536,3073536
65,25.7642879486084,4609536,3073536
66,38.58047866821289,4609536,3073536
67,26.08665657043457,4609536,3073536
68,25.552383422851562,4609536,3073536
69,26.058303833007812,4609536,3073536
70,26.943552017211914,4609536,3073536
71,25.92140769958496,4609536,3073536
72,25.75974464416504,4609536,3073536
73,26.283679962158203,4609536,3073536
74,80.64374542236328,4609536,3073536
75,26.18681526184082,4609536,3073536
76,26.02070426940918,4609536,3073536
77,25.580543518066406,4609536,3073536
78,25.526304244995117,4609536,3073536
79,25.77142333984375,4609536,3073536
80,25.870431900024414,4609536,3073536
81,25.81827163696289,4609536,3073536
82,25.779455184936523,4609536,3073536
83,25.655071258544922,4609536,3073536
84,25.74723243713379,4609536,3073536
85,25.95849609375,4609536,3073536
86,25.89836883544922,4609536,3073536
87,26.693920135498047,4609536,3073536
88,25.630687713623047,4609536,3073536
89,25.719200134277344,4609536,3073536
90,25.76380729675293,4609536,3073536
91,25.8253116607666,4609536,3073536
92,26.506975173950195,4609536,3073536
93,25.71107292175293,4609536,3073536
94,25.611616134643555,4609536,3073536
95,25.84169578552246,4609536,3073536
96,25.744735717773438,4609536,3073536
97,25.722976684570312,4609536,3073536
98,25.750688552856445,4609536,3073536
99,25.88819122314453,4609536,3073536
