,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736079698.1529005,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",0.0,22091522048
1,1736079699.159454,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",19.2,22875140096
2,1736079700.161986,"[0, 0, 0, 0]","[935067648, 935788544, 928710656, 928710656]",5.6,23156408320
3,1736079701.1637776,"[0, 0, 0, 0]","[935067648, 935788544, 946143232, 946339840]",9.9,23523082240
4,1736079702.186241,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",3.7,23852183552
5,1736079703.1879776,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",11.5,24058163200
6,1736079704.1900904,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",5.8,24040632320
7,1736079705.191824,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",8.1,24120311808
8,1736079706.193592,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",74.9,27691261952
9,1736079707.1956108,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.9,29469859840
10,1736079708.1976678,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.6,31263334400
11,1736079709.1996381,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.6,33037139968
12,1736079710.201751,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.1,34814701568
13,1736079711.2038052,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.4,36482420736
14,1736079712.2058675,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.7,38119804928
15,1736079713.2077343,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.0,39909539840
16,1736079714.2096472,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.7,41724043264
17,1736079715.211504,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.2,43468218368
18,1736079716.2135367,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.0,45084569600
19,1736079717.2155457,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.2,46735896576
20,1736079718.2175806,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.1,48373723136
21,1736079719.2195446,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.8,49952030720
22,1736079720.2215376,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.6,51691585536
23,1736079721.2235863,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.7,53564841984
24,1736079722.2257218,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.2,55614550016
25,1736079723.2277665,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.2,57299668992
26,1736079724.2296872,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.5,58829238272
27,1736079725.2315462,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.0,60520116224
28,1736079726.2334766,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.7,62256324608
29,1736079727.235511,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.9,64159997952
30,1736079728.2375398,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.1,65781981184
31,1736079729.2395587,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",97.0,68689813504
32,1736079730.2416086,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",98.2,74064576512
33,1736079731.243582,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.6,75759808512
34,1736079732.2456927,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.8,77272756224
35,1736079733.2476847,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.0,78852521984
36,1736079734.249704,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.1,80450793472
37,1736079735.2517173,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.1,82084438016
38,1736079736.2537742,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.5,83655802880
39,1736079737.2557824,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.2,85296259072
40,1736079738.2578557,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.0,86841679872
41,1736079739.2598913,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",89.8,88378097664
42,1736079740.2619588,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.0,90052681728
43,1736079741.2640266,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.4,91777880064
44,1736079742.2660081,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.6,93457625088
45,1736079743.2679858,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.5,95169736704
46,1736079744.2700744,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.6,96674619392
47,1736079745.272039,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.7,98488496128
48,1736079746.274048,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.7,100243230720
49,1736079747.2760398,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",92.4,101861691392
50,1736079748.2780383,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.1,103442345984
51,1736079749.2800446,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.1,105258909696
52,1736079750.282076,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.0,107057328128
53,1736079751.2840378,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.4,108749717504
54,1736079752.2860699,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",93.7,110237900800
55,1736079753.288036,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.9,112011710464
56,1736079754.290028,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.7,113758658560
57,1736079755.2920444,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",96.0,116062683136
58,1736079756.2939713,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",85.2,117759799296
59,1736079757.2959514,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",88.7,119253172224
60,1736079758.2980094,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",94.8,120151355392
61,1736079759.3000498,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",95.6,121138954240
62,1736079760.3019946,"[0, 0, 0, 0]","[935067648, 1375731712, 1368653824, 1368653824]",78.1,120370028544
