iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,59.337982177734375,552961536,368641536
1,52.18204879760742,552961536,368641536
2,50.99929428100586,552961536,368641536
3,50.847904205322266,552961536,368641536
4,47.87571334838867,552961536,368641536
5,47.52297592163086,552961536,368641536
6,47.70755386352539,552961536,368641536
7,49.592769622802734,552961536,368641536
8,47.556640625,552961536,368641536
9,47.51081466674805,552961536,368641536
10,48.09251022338867,552961536,368641536
11,49.24630355834961,552961536,368641536
12,47.65846252441406,552961536,368641536
13,47.88550567626953,552961536,368641536
14,49.9031982421875,552961536,368641536
15,47.6712646484375,552961536,368641536
16,49.46531295776367,552961536,368641536
17,46.96281433105469,552961536,368641536
18,47.14470291137695,552961536,368641536
19,46.95759963989258,552961536,368641536
20,46.900672912597656,552961536,368641536
21,47.088897705078125,552961536,368641536
22,49.00912094116211,552961536,368641536
23,46.92598342895508,552961536,368641536
24,47.43766403198242,552961536,368641536
25,49.1099853515625,552961536,368641536
26,47.24448013305664,552961536,368641536
27,47.01728057861328,552961536,368641536
28,47.323646545410156,552961536,368641536
29,47.122047424316406,552961536,368641536
30,47.40556716918945,552961536,368641536
31,46.80543899536133,552961536,368641536
32,52.1682243347168,552961536,368641536
33,48.59151840209961,552961536,368641536
34,47.122657775878906,552961536,368641536
35,46.990047454833984,552961536,368641536
36,46.84940719604492,552961536,368641536
37,48.66342544555664,552961536,368641536
38,47.38710403442383,552961536,368641536
39,46.8678092956543,552961536,368641536
40,46.74860763549805,552961536,368641536
41,46.891326904296875,552961536,368641536
42,47.08620834350586,552961536,368641536
43,46.89104080200195,552961536,368641536
44,47.0055046081543,552961536,368641536
45,47.05654525756836,552961536,368641536
46,47.18067169189453,552961536,368641536
47,47.373600006103516,552961536,368641536
48,48.388671875,552961536,368641536
49,47.559295654296875,552961536,368641536
50,49.992225646972656,552961536,368641536
51,46.76732635498047,552961536,368641536
52,49.19062423706055,552961536,368641536
53,47.12857437133789,552961536,368641536
54,46.74460983276367,552961536,368641536
55,47.793087005615234,552961536,368641536
56,46.67670440673828,552961536,368641536
57,49.57779312133789,552961536,368641536
58,46.84880065917969,552961536,368641536
59,46.67452621459961,552961536,368641536
60,46.70755386352539,552961536,368641536
61,46.573055267333984,552961536,368641536
62,46.83369445800781,552961536,368641536
63,46.776161193847656,552961536,368641536
64,47.94899368286133,552961536,368641536
65,46.97945785522461,552961536,368641536
66,53.80470275878906,552961536,368641536
67,47.16115188598633,552961536,368641536
68,47.053951263427734,552961536,368641536
69,47.110496520996094,552961536,368641536
70,46.60038375854492,552961536,368641536
71,46.80400085449219,552961536,368641536
72,46.48780822753906,552961536,368641536
73,47.361568450927734,552961536,368641536
74,47.06515121459961,552961536,368641536
75,46.905601501464844,552961536,368641536
76,46.8138542175293,552961536,368641536
77,48.48704147338867,552961536,368641536
78,46.793087005615234,552961536,368641536
79,46.812992095947266,552961536,368641536
80,47.038753509521484,552961536,368641536
81,46.87811279296875,552961536,368641536
82,47.20848083496094,552961536,368641536
83,47.053985595703125,552961536,368641536
84,46.9310417175293,552961536,368641536
85,47.122432708740234,552961536,368641536
86,47.131553649902344,552961536,368641536
87,47.23379135131836,552961536,368641536
88,46.877376556396484,552961536,368641536
89,47.0145263671875,552961536,368641536
90,47.0577278137207,552961536,368641536
91,47.055137634277344,552961536,368641536
92,47.12217712402344,552961536,368641536
93,47.2591667175293,552961536,368641536
94,47.14271926879883,552961536,368641536
95,47.84678268432617,552961536,368641536
96,47.07708740234375,552961536,368641536
97,46.83039855957031,552961536,368641536
98,46.70252990722656,552961536,368641536
99,46.882591247558594,552961536,368641536
