iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,25.732160568237305,4609536,3073536
1,27.39366340637207,4609536,3073536
2,25.91993522644043,4609536,3073536
3,30.45052719116211,4609536,3073536
4,25.897823333740234,4609536,3073536
5,25.948896408081055,4609536,3073536
6,25.895456314086914,4609536,3073536
7,25.908607482910156,4609536,3073536
8,26.53366470336914,4609536,3073536
9,25.910879135131836,4609536,3073536
10,26.403039932250977,4609536,3073536
11,27.141855239868164,4609536,3073536
12,26.742271423339844,4609536,3073536
13,26.216896057128906,4609536,3073536
14,25.975488662719727,4609536,3073536
15,26.50739288330078,4609536,3073536
16,26.310335159301758,4609536,3073536
17,26.087295532226562,4609536,3073536
18,27.20694351196289,4609536,3073536
19,25.830175399780273,4609536,3073536
20,25.868671417236328,4609536,3073536
21,25.978912353515625,4609536,3073536
22,25.992704391479492,4609536,3073536
23,27.183488845825195,4609536,3073536
24,25.17398452758789,4609536,3073536
25,26.059968948364258,4609536,3073536
26,25.79644775390625,4609536,3073536
27,25.930240631103516,4609536,3073536
28,25.97212791442871,4609536,3073536
29,27.200063705444336,4609536,3073536
30,26.440671920776367,4609536,3073536
31,25.996095657348633,4609536,3073536
32,25.903104782104492,4609536,3073536
33,25.9770565032959,4609536,3073536
34,29.284832000732422,4609536,3073536
35,26.337600708007812,4609536,3073536
36,25.87740707397461,4609536,3073536
37,25.979103088378906,4609536,3073536
38,25.965919494628906,4609536,3073536
39,25.980192184448242,4609536,3073536
40,25.888832092285156,4609536,3073536
41,25.84351921081543,4609536,3073536
42,25.88707160949707,4609536,3073536
43,26.11292839050293,4609536,3073536
44,25.867584228515625,4609536,3073536
45,25.897247314453125,4609536,3073536
46,25.891328811645508,4609536,3073536
47,26.332063674926758,4609536,3073536
48,26.15078353881836,4609536,3073536
49,25.951200485229492,4609536,3073536
50,25.367807388305664,4609536,3073536
51,25.916767120361328,4609536,3073536
52,26.128799438476562,4609536,3073536
53,26.669023513793945,4609536,3073536
54,25.958656311035156,4609536,3073536
55,25.84351921081543,4609536,3073536
56,25.946880340576172,4609536,3073536
57,25.880159378051758,4609536,3073536
58,25.92083168029785,4609536,3073536
59,25.947935104370117,4609536,3073536
60,25.748064041137695,4609536,3073536
61,25.709823608398438,4609536,3073536
62,25.80201530456543,4609536,3073536
63,25.937856674194336,4609536,3073536
64,25.879072189331055,4609536,3073536
65,25.828575134277344,4609536,3073536
66,25.87731170654297,4609536,3073536
67,25.85206413269043,4609536,3073536
68,25.82601547241211,4609536,3073536
69,25.774368286132812,4609536,3073536
70,26.06502342224121,4609536,3073536
71,25.9899845123291,4609536,3073536
72,26.001056671142578,4609536,3073536
73,25.906400680541992,4609536,3073536
74,25.896703720092773,4609536,3073536
75,25.894432067871094,4609536,3073536
76,25.816864013671875,4609536,3073536
77,25.874080657958984,4609536,3073536
78,25.99907112121582,4609536,3073536
79,170.59207153320312,4609536,3073536
80,26.010847091674805,4609536,3073536
81,27.667680740356445,4609536,3073536
82,25.84115219116211,4609536,3073536
83,25.89289665222168,4609536,3073536
84,26.011775970458984,4609536,3073536
85,25.938880920410156,4609536,3073536
86,25.756479263305664,4609536,3073536
87,25.8450870513916,4609536,3073536
88,25.891263961791992,4609536,3073536
89,25.960447311401367,4609536,3073536
90,26.015424728393555,4609536,3073536
91,25.834623336791992,4609536,3073536
92,26.773151397705078,4609536,3073536
93,25.851072311401367,4609536,3073536
94,25.81875228881836,4609536,3073536
95,26.137887954711914,4609536,3073536
96,25.871936798095703,4609536,3073536
97,25.86841583251953,4609536,3073536
98,25.99033546447754,4609536,3073536
99,25.89414405822754,4609536,3073536
