,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736093004.7084408,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",0.0,40013889536
1,1736093005.7156487,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",16.9,40779866112
2,1736093006.7175028,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",8.6,41047429120
3,1736093007.719515,"[0, 0, 0, 0]","[928710656, 928710656, 1025179648, 928710656]",6.5,41296687104
4,1736093008.7226784,"[0, 1, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",5.2,41660690432
5,1736093009.7247133,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",7.9,41974517760
6,1736093010.7267272,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",8.3,41968570368
7,1736093011.728743,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",7.6,41965928448
8,1736093012.730548,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",43.7,46603374592
9,1736093013.7316391,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",98.1,48256000000
10,1736093014.7337232,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",98.3,49988927488
11,1736093015.7356405,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",98.6,51703291904
12,1736093016.7374725,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.8,53462188032
13,1736093017.7394633,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.2,55038881792
14,1736093018.7415679,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",87.5,56539742208
15,1736093019.743653,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",82.4,57902997504
16,1736093020.7457159,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.4,59494977536
17,1736093021.7476377,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.5,61143105536
18,1736093022.749687,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.1,62842552320
19,1736093023.7516406,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.1,64516726784
20,1736093024.7536993,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.7,66268758016
21,1736093025.7562244,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.9,67926081536
22,1736093026.7581828,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.3,69610463232
23,1736093027.7596447,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.3,71403646976
24,1736093028.7616622,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",97.5,73401167872
25,1736093029.7636263,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.9,75199746048
26,1736093030.7655585,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.7,76872810496
27,1736093031.7716465,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.1,78457282560
28,1736093032.7736683,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.7,80085835776
29,1736093033.7758021,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.7,81837162496
30,1736093034.777878,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",71.6,92424855552
31,1736093035.7796361,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",78.3,95601995776
32,1736093036.7815952,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.4,97254846464
33,1736093037.7836425,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.6,98922991616
34,1736093038.78567,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.4,100561731584
35,1736093039.7876298,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.1,102020493312
36,1736093040.7896018,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.2,103751544832
37,1736093041.7915764,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,105431416832
38,1736093042.7936153,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.0,107088273408
39,1736093043.7956553,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.2,108652576768
40,1736093044.7977104,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.0,110133719040
41,1736093045.7996457,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.1,111775236096
42,1736093046.8016276,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.2,113331597312
43,1736093047.8036547,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.5,114984787968
44,1736093048.8056612,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.6,116546367488
45,1736093049.8076453,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.5,118164357120
46,1736093050.8097208,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.8,120498601984
47,1736093051.811648,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.5,122114052096
48,1736093052.8136835,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",96.1,123803422720
49,1736093053.8156378,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.0,125453725696
50,1736093054.8177073,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.5,126974382080
51,1736093055.8236587,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.4,128427503616
52,1736093056.825744,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.7,130130706432
53,1736093057.8276513,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.8,131702165504
54,1736093058.829716,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.8,133352013824
55,1736093059.8316426,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.3,134967824384
56,1736093060.8335605,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.4,136407531520
57,1736093061.8356397,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.6,137962917888
58,1736093062.837689,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.5,139606745088
59,1736093063.8396516,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",76.3,141329735680
60,1736093064.8417218,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.4,142907551744
61,1736093065.8436453,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.2,144292446208
62,1736093066.8448222,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.2,145354604544
63,1736093067.8468485,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.9,146550599680
64,1736093068.8487992,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.5,147830636544
65,1736093069.8507786,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.8,149098385408
66,1736093070.8528228,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.0,148582060032
67,1736093071.854802,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.7,149942423552
68,1736093072.8568728,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.9,151622688768
69,1736093073.8589292,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",84.7,153938599936
70,1736093074.861064,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.5,154641920000
71,1736093075.862995,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.6,155012767744
72,1736093076.8649428,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.0,153035796480
73,1736093077.8668425,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.1,151825723392
74,1736093078.8688567,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.5,153647923200
75,1736093079.870726,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.9,151912771584
76,1736093080.871649,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.5,150303973376
77,1736093081.8737175,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.7,150839795712
78,1736093082.875629,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.0,151169257472
79,1736093083.8775146,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.6,151539429376
80,1736093084.8793705,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.9,148012498944
81,1736093085.8812797,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",67.4,146486489088
82,1736093086.8831742,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.8,146819981312
83,1736093087.8851798,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.2,146904535040
84,1736093088.8871121,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.1,146841837568
85,1736093089.8890882,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.2,146761097216
86,1736093090.8909836,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",60.6,138254442496
87,1736093091.8930767,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",68.4,138916569088
88,1736093092.894902,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",87.9,138915946496
89,1736093093.8967693,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.0,138910302208
90,1736093094.8985808,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",91.8,138911948800
91,1736093095.8996189,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,137601032192
92,1736093096.9014156,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",85.7,134560006144
93,1736093097.9032135,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.8,134822064128
94,1736093098.9050777,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",72.7,130835881984
95,1736093099.9068923,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.0,130873614336
96,1736093100.9087412,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.2,130872430592
97,1736093101.910555,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,130865147904
98,1736093102.9116192,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",94.5,128641839104
99,1736093103.9134078,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",80.8,122384523264
100,1736093104.915185,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",92.6,120594919424
101,1736093105.9169998,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",95.1,120841093120
102,1736093106.9187648,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,120827842560
103,1736093107.919616,"[0, 0, 0, 0]","[928710656, 1368653824, 1465122816, 1368653824]",93.4,120809803776
