iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,23.524736404418945,4608768,3072768
1,21.171552658081055,4608768,3072768
2,19.778688430786133,4608768,3072768
3,19.01411247253418,4608768,3072768
4,18.936031341552734,4608768,3072768
5,17.36751937866211,4608768,3072768
6,18.632160186767578,4608768,3072768
7,17.567007064819336,4608768,3072768
8,17.208160400390625,4608768,3072768
9,17.527711868286133,4608768,3072768
10,17.718944549560547,4608768,3072768
11,21.058015823364258,4608768,3072768
12,17.457632064819336,4608768,3072768
13,17.464351654052734,4608768,3072768
14,17.180448532104492,4608768,3072768
15,17.703807830810547,4608768,3072768
16,17.654815673828125,4608768,3072768
17,18.481760025024414,4608768,3072768
18,17.70707130432129,4608768,3072768
19,19.506591796875,4608768,3072768
20,17.6712646484375,4608768,3072768
21,17.560672760009766,4608768,3072768
22,17.26095962524414,4608768,3072768
23,17.52239990234375,4608768,3072768
24,20.997087478637695,4608768,3072768
25,17.44553565979004,4608768,3072768
26,17.6212158203125,4608768,3072768
27,17.318880081176758,4608768,3072768
28,17.044607162475586,4608768,3072768
29,21.127967834472656,4608768,3072768
30,19.081247329711914,4608768,3072768
31,33.508480072021484,4608768,3072768
32,17.3819522857666,4608768,3072768
33,18.047391891479492,4608768,3072768
34,17.402816772460938,4608768,3072768
35,17.717599868774414,4608768,3072768
36,16.763391494750977,4608768,3072768
37,18.170080184936523,4608768,3072768
38,18.455135345458984,4608768,3072768
39,17.57267189025879,4608768,3072768
40,20.480287551879883,4608768,3072768
41,17.925312042236328,4608768,3072768
42,17.65830421447754,4608768,3072768
43,18.82819175720215,4608768,3072768
44,23.127391815185547,4608768,3072768
45,17.23084831237793,4608768,3072768
46,17.64748764038086,4608768,3072768
47,17.420480728149414,4608768,3072768
48,18.015296936035156,4608768,3072768
49,17.450847625732422,4608768,3072768
50,23.983583450317383,4608768,3072768
51,18.257951736450195,4608768,3072768
52,18.322336196899414,4608768,3072768
53,18.06889533996582,4608768,3072768
54,18.092287063598633,4608768,3072768
55,17.864608764648438,4608768,3072768
56,17.375648498535156,4608768,3072768
57,17.081439971923828,4608768,3072768
58,17.264320373535156,4608768,3072768
59,18.28441619873047,4608768,3072768
60,17.525056838989258,4608768,3072768
61,21.139039993286133,4608768,3072768
62,17.529951095581055,4608768,3072768
63,17.683359146118164,4608768,3072768
64,17.580095291137695,4608768,3072768
65,16.895488739013672,4608768,3072768
66,18.840896606445312,4608768,3072768
67,17.829280853271484,4608768,3072768
68,17.201215744018555,4608768,3072768
69,20.432735443115234,4608768,3072768
70,17.74220848083496,4608768,3072768
71,17.083200454711914,4608768,3072768
72,18.755615234375,4608768,3072768
73,18.564191818237305,4608768,3072768
74,17.784704208374023,4608768,3072768
75,17.411264419555664,4608768,3072768
76,18.099647521972656,4608768,3072768
77,18.19219207763672,4608768,3072768
78,18.46950340270996,4608768,3072768
79,17.24550437927246,4608768,3072768
80,17.617151260375977,4608768,3072768
81,21.37161636352539,4608768,3072768
82,17.00694465637207,4608768,3072768
83,17.80396842956543,4608768,3072768
84,17.26518440246582,4608768,3072768
85,17.543455123901367,4608768,3072768
86,17.574752807617188,4608768,3072768
87,16.949663162231445,4608768,3072768
88,18.402271270751953,4608768,3072768
89,20.158655166625977,4608768,3072768
90,46.34259033203125,4608768,3072768
91,45.366432189941406,4608768,3072768
92,17.159168243408203,4608768,3072768
93,18.105087280273438,4608768,3072768
94,17.233375549316406,4608768,3072768
95,45.53683090209961,4608768,3072768
96,17.1363525390625,4608768,3072768
97,18.38764762878418,4608768,3072768
98,17.285184860229492,4608768,3072768
99,17.025983810424805,4608768,3072768
