iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,57.023807525634766,552961536,368641536
1,47.7322883605957,552961536,368641536
2,48.597694396972656,552961536,368641536
3,46.7573127746582,552961536,368641536
4,54.91459274291992,552961536,368641536
5,94.90694427490234,552961536,368641536
6,48.16012954711914,552961536,368641536
7,46.44758224487305,552961536,368641536
8,45.596256256103516,552961536,368641536
9,46.22627258300781,552961536,368641536
10,46.30601501464844,552961536,368641536
11,46.78704071044922,552961536,368641536
12,45.6855354309082,552961536,368641536
13,47.305057525634766,552961536,368641536
14,46.02899169921875,552961536,368641536
15,46.2468147277832,552961536,368641536
16,46.66185760498047,552961536,368641536
17,46.17417526245117,552961536,368641536
18,46.31827163696289,552961536,368641536
19,46.72883224487305,552961536,368641536
20,47.88323211669922,552961536,368641536
21,48.3015022277832,552961536,368641536
22,47.69587326049805,552961536,368641536
23,45.75145721435547,552961536,368641536
24,46.31260681152344,552961536,368641536
25,46.115169525146484,552961536,368641536
26,47.01968002319336,552961536,368641536
27,46.11376190185547,552961536,368641536
28,46.30495834350586,552961536,368641536
29,46.17881774902344,552961536,368641536
30,46.11145782470703,552961536,368641536
31,46.07881546020508,552961536,368641536
32,45.99513626098633,552961536,368641536
33,46.46467208862305,552961536,368641536
34,47.66998291015625,552961536,368641536
35,46.11209487915039,552961536,368641536
36,46.27132797241211,552961536,368641536
37,46.11347198486328,552961536,368641536
38,46.20470428466797,552961536,368641536
39,46.2217903137207,552961536,368641536
40,46.83295822143555,552961536,368641536
41,46.31417465209961,552961536,368641536
42,46.243839263916016,552961536,368641536
43,46.20934295654297,552961536,368641536
44,45.73759841918945,552961536,368641536
45,47.232383728027344,552961536,368641536
46,46.616127014160156,552961536,368641536
47,47.30819320678711,552961536,368641536
48,46.39424133300781,552961536,368641536
49,46.15849685668945,552961536,368641536
50,46.39654541015625,552961536,368641536
51,46.370079040527344,552961536,368641536
52,46.61257553100586,552961536,368641536
53,49.181278228759766,552961536,368641536
54,46.999454498291016,552961536,368641536
55,45.9161262512207,552961536,368641536
56,46.12822341918945,552961536,368641536
57,46.32255935668945,552961536,368641536
58,46.732513427734375,552961536,368641536
59,47.295265197753906,552961536,368641536
60,46.0805778503418,552961536,368641536
61,46.181182861328125,552961536,368641536
62,45.99465560913086,552961536,368641536
63,44.96486282348633,552961536,368641536
64,47.231807708740234,552961536,368641536
65,46.29683303833008,552961536,368641536
66,45.878623962402344,552961536,368641536
67,45.94105529785156,552961536,368641536
68,46.05276870727539,552961536,368641536
69,45.90403366088867,552961536,368641536
70,46.07712173461914,552961536,368641536
71,47.28838348388672,552961536,368641536
72,46.37295913696289,552961536,368641536
73,45.99321746826172,552961536,368641536
74,45.97600173950195,552961536,368641536
75,47.1143684387207,552961536,368641536
76,46.75836944580078,552961536,368641536
77,46.16963195800781,552961536,368641536
78,45.7360954284668,552961536,368641536
79,46.68297576904297,552961536,368641536
80,46.29289627075195,552961536,368641536
81,45.88857650756836,552961536,368641536
82,46.222206115722656,552961536,368641536
83,45.72073745727539,552961536,368641536
84,47.56623840332031,552961536,368641536
85,46.34832000732422,552961536,368641536
86,45.97340774536133,552961536,368641536
87,46.12643051147461,552961536,368641536
88,46.491966247558594,552961536,368641536
89,46.4238395690918,552961536,368641536
90,46.34918212890625,552961536,368641536
91,46.10870361328125,552961536,368641536
92,46.42544174194336,552961536,368641536
93,46.29190444946289,552961536,368641536
94,46.84223937988281,552961536,368641536
95,48.71558380126953,552961536,368641536
96,46.08950424194336,552961536,368641536
97,45.8842887878418,552961536,368641536
98,47.104862213134766,552961536,368641536
99,46.0153923034668,552961536,368641536
