,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736022307.9409568,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,32165388288
1,1736022308.9477875,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",19.1,32964726784
2,1736022309.9498332,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",9.9,33229971456
3,1736022310.9519591,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",8.9,33533018112
4,1736022311.9822125,"[0, 2, 2, 2]","[928710656, 1368653824, 1368653824, 1368653824]",9.9,33891614720
5,1736022312.9843028,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",8.9,34042568704
6,1736022313.9873378,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",17.0,35665199104
7,1736022314.9894936,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.3,39732842496
8,1736022315.9913352,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.2,41351536640
9,1736022316.9934359,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,42990604288
10,1736022317.99534,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,44671102976
11,1736022318.9974535,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.0,46094929920
12,1736022319.9993424,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.2,47844888576
13,1736022321.00159,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,49434329088
14,1736022322.0033581,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,51056893952
15,1736022323.0054162,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,52872974336
16,1736022324.0073066,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,54591119360
17,1736022325.0091941,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,56238469120
18,1736022326.0111127,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,57761787904
19,1736022327.013127,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.9,59434868736
20,1736022328.0150733,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.9,61133299712
21,1736022329.0170279,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,63238115328
22,1736022330.0189734,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.9,64717836288
23,1736022331.0210056,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,66219765760
24,1736022332.0225925,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.3,67751370752
