,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735915628.2894368,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,30348984320
1,1735915629.2959218,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",15.0,31133839360
2,1735915630.297913,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",7.9,31224623104
3,1735915631.2999122,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",8.1,31476039680
4,1735915632.3072743,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.3,31834472448
5,1735915633.309021,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.2,32018137088
6,1735915634.310897,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",7.5,32195993600
7,1735915635.3127902,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.5,37197709312
8,1735915636.3147945,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,39031291904
9,1735915637.316796,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,40842285056
10,1735915638.3187456,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,42672709632
11,1735915639.3207583,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,44529639424
12,1735915640.3226838,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,46265683968
13,1735915641.3246691,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.1,48122216448
14,1735915642.3266125,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,49844899840
15,1735915643.3337095,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",99.0,51708227584
16,1735915644.3415287,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,53524140032
17,1735915645.3433025,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.4,55337553920
18,1735915646.3452744,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.4,57147453440
19,1735915647.34722,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.9,59027955712
20,1735915648.3491926,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,60912316416
21,1735915649.351122,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,62725357568
22,1735915650.3531394,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,64493088768
23,1735915651.3550808,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,67054284800
24,1735915652.3571088,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",86.1,76578099200
25,1735915653.3591025,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",84.5,86291619840
26,1735915654.3611813,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",33.9,89595383808
27,1735915655.3631978,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",19.9,84130746368
28,1735915656.3655064,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",16.7,74066489344
29,1735915657.368014,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",15.9,64456577024
30,1735915658.3700025,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",23.2,55953231872
31,1735915659.3719797,"[0, 0, 0, 10]","[1555300352, 1368653824, 1368653824, 2876506112]",16.4,47448584192
32,1735915660.373925,"[12, 5, 11, 0]","[4197711872, 2582904832, 2582904832, 4197711872]",10.6,41123065856
33,1735915661.3757865,"[0, 3, 5, 0]","[4197711872, 4197711872, 4197711872, 5107875840]",15.2,41012097024
34,1735915662.3780746,"[5, 0, 0, 2]","[6259212288, 4197711872, 4197711872, 6259212288]",13.8,41604046848
35,1735915663.380091,"[0, 4, 0, 0]","[6259212288, 6259212288, 6259212288, 6259212288]",7.6,41995472896
36,1735915664.3830073,"[0, 0, 0, 0]","[6913523712, 7064518656, 7064518656, 6913523712]",6.6,42005168128
37,1735915665.3874319,"[63, 55, 48, 37]","[7886602240, 8037597184, 8037597184, 7886602240]",7.6,42075365376
