iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,50.308990478515625,552961536,368641536
1,52.95951843261719,552961536,368641536
2,47.7020149230957,552961536,368641536
3,49.268638610839844,552961536,368641536
4,54.238304138183594,552961536,368641536
5,50.202720642089844,552961536,368641536
6,48.610015869140625,552961536,368641536
7,47.9758415222168,552961536,368641536
8,49.3139533996582,552961536,368641536
9,47.887168884277344,552961536,368641536
10,49.057281494140625,552961536,368641536
11,48.227134704589844,552961536,368641536
12,47.878238677978516,552961536,368641536
13,48.659393310546875,552961536,368641536
14,47.28947067260742,552961536,368641536
15,48.23516845703125,552961536,368641536
16,48.71110534667969,552961536,368641536
17,52.23708724975586,552961536,368641536
18,47.5786247253418,552961536,368641536
19,58.364990234375,552961536,368641536
20,47.96323013305664,552961536,368641536
21,48.595359802246094,552961536,368641536
22,49.694976806640625,552961536,368641536
23,48.225406646728516,552961536,368641536
24,52.73820877075195,552961536,368641536
25,48.32172775268555,552961536,368641536
26,48.22854232788086,552961536,368641536
27,47.948768615722656,552961536,368641536
28,47.441280364990234,552961536,368641536
29,47.658241271972656,552961536,368641536
30,47.32121658325195,552961536,368641536
31,48.14441680908203,552961536,368641536
32,48.45564651489258,552961536,368641536
33,47.739585876464844,552961536,368641536
34,47.57270431518555,552961536,368641536
35,48.347808837890625,552961536,368641536
36,47.9667854309082,552961536,368641536
37,47.699073791503906,552961536,368641536
38,47.61840057373047,552961536,368641536
39,47.77190399169922,552961536,368641536
40,48.019168853759766,552961536,368641536
41,47.57292938232422,552961536,368641536
42,48.61119842529297,552961536,368641536
43,47.58371353149414,552961536,368641536
44,48.99846267700195,552961536,368641536
45,47.78569412231445,552961536,368641536
46,47.778560638427734,552961536,368641536
47,47.49711990356445,552961536,368641536
48,48.09804916381836,552961536,368641536
49,47.80307388305664,552961536,368641536
50,50.09516906738281,552961536,368641536
51,51.12464141845703,552961536,368641536
52,50.36064147949219,552961536,368641536
53,47.78838348388672,552961536,368641536
54,47.604190826416016,552961536,368641536
55,49.340030670166016,552961536,368641536
56,48.192928314208984,552961536,368641536
57,47.83987045288086,552961536,368641536
58,49.83695983886719,552961536,368641536
59,47.6984977722168,552961536,368641536
60,47.871070861816406,552961536,368641536
61,48.02921676635742,552961536,368641536
62,48.02412796020508,552961536,368641536
63,47.778846740722656,552961536,368641536
64,58.22505569458008,552961536,368641536
65,48.364959716796875,552961536,368641536
66,48.13817596435547,552961536,368641536
67,47.42736053466797,552961536,368641536
68,49.19939041137695,552961536,368641536
69,47.9068489074707,552961536,368641536
70,48.839359283447266,552961536,368641536
71,49.086273193359375,552961536,368641536
72,48.30780792236328,552961536,368641536
73,51.09222412109375,552961536,368641536
74,48.299583435058594,552961536,368641536
75,50.479007720947266,552961536,368641536
76,49.84307098388672,552961536,368641536
77,47.902496337890625,552961536,368641536
78,47.94460678100586,552961536,368641536
79,47.722206115722656,552961536,368641536
80,47.987422943115234,552961536,368641536
81,48.106048583984375,552961536,368641536
82,49.47014236450195,552961536,368641536
83,47.821632385253906,552961536,368641536
84,48.67900848388672,552961536,368641536
85,49.73174285888672,552961536,368641536
86,47.63382339477539,552961536,368641536
87,50.46112060546875,552961536,368641536
88,47.682464599609375,552961536,368641536
89,47.55660629272461,552961536,368641536
90,47.48963165283203,552961536,368641536
91,51.09968185424805,552961536,368641536
92,47.34409713745117,552961536,368641536
93,47.646305084228516,552961536,368641536
94,47.95996856689453,552961536,368641536
95,47.49251174926758,552961536,368641536
96,47.3043212890625,552961536,368641536
97,47.55763244628906,552961536,368641536
98,47.41068649291992,552961536,368641536
99,47.438846588134766,552961536,368641536
