,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735864182.1631446,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",36.8,88977833984
1,1735864183.1709013,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",23.4,89608028160
2,1735864184.172049,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",15.9,90042343424
3,1735864185.1739793,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",17.2,90724171776
4,1735864186.177584,"[0, 0, 1, 3]","[928710656, 1375731712, 1368653824, 1368653824]",16.1,91661299712
5,1735864187.1793513,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.6,92210987008
6,1735864188.1813369,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",16.6,92017508352
7,1735864189.1831625,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",83.7,94477742080
8,1735864190.1852293,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.7,97205796864
9,1735864191.1872299,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.2,99107557376
10,1735864192.195481,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.9,101103476736
11,1735864193.1975317,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.3,102311829504
12,1735864194.1995676,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.5,104320520192
13,1735864195.2016275,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.7,106474119168
14,1735864196.203541,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.4,108355293184
15,1735864197.2055607,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",97.5,109930885120
16,1735864198.2074683,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",96.4,112711651328
17,1735864199.2095058,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.0,114739773440
18,1735864200.2113686,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",94.9,116560314368
19,1735864201.2132964,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",95.5,117954113536
20,1735864202.2153182,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.8,120410509312
21,1735864203.2173872,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.3,122414051328
22,1735864204.219443,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.4,124282966016
23,1735864205.2216115,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.2,125551882240
24,1735864206.223738,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",93.3,127199162368
25,1735864207.2259429,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.3,129504497664
26,1735864208.2280517,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.5,130909749248
27,1735864209.230139,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.4,132843806720
28,1735864210.232047,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.4,133780979712
29,1735864211.237392,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.3,135906631680
30,1735864212.2394612,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",89.8,137601728512
31,1735864213.2416122,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.2,139058085888
32,1735864214.2438686,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",85.0,140584607744
33,1735864215.2459848,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",87.2,142263951360
34,1735864216.2498102,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",86.8,143849439232
35,1735864217.2518377,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",88.2,144806354944
36,1735864218.2539327,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.8,147059679232
37,1735864219.255828,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",91.0,149337223168
38,1735864220.2579715,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",42.8,155117699072
39,1735864221.260068,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",69.7,159690289152
40,1735864222.2620971,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",21.0,152649445376
41,1735864223.264036,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",42.0,148642332672
42,1735864224.2660031,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",55.9,140137975808
43,1735864225.2678874,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",69.4,139075375104
44,1735864226.2698326,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",48.7,131048300544
45,1735864227.2717328,"[0, 9, 0, 0]","[928710656, 2149580800, 1368653824, 1368653824]",22.3,123423055872
46,1735864228.2735355,"[6, 11, 9, 0]","[2184445952, 4016046080, 2478047232, 1368653824]",24.5,116672655360
47,1735864229.2754586,"[2, 0, 0, 9]","[4197711872, 4204789760, 4197711872, 2687762432]",14.3,112551686144
48,1735864230.2772863,"[0, 6, 0, 0]","[4197711872, 5068816384, 4197711872, 4197711872]",26.9,112578699264
49,1735864231.2795446,"[3, 0, 6, 0]","[5114167296, 5121245184, 5114167296, 4197711872]",19.1,113917706240
50,1735864232.2819738,"[0, 0, 0, 0]","[5114167296, 5121245184, 5114167296, 5114167296]",17.4,114669920256
51,1735864233.2872856,"[0, 0, 0, 0]","[6139674624, 6297747456, 6290669568, 6139674624]",18.9,114262347776
52,1735864234.2893934,"[37, 41, 45, 41]","[6366167040, 6524239872, 6517161984, 6366167040]",16.3,114876043264
53,1735864235.2913878,"[30, 44, 39, 40]","[6366167040, 6524239872, 6517161984, 6366167040]",20.3,115011448832
54,1735864236.2936666,"[40, 42, 43, 41]","[6366167040, 6524239872, 6517161984, 6366167040]",14.5,115736088576
55,1735864237.2956955,"[36, 41, 42, 43]","[6366167040, 6524239872, 6517161984, 6366167040]",14.2,115772600320
56,1735864238.297827,"[39, 44, 39, 42]","[6515064832, 6673137664, 6666059776, 6515064832]",16.3,115772338176
57,1735864239.3001409,"[42, 47, 37, 34]","[6515064832, 6673137664, 6666059776, 6515064832]",18.2,116084875264
58,1735864240.302217,"[39, 36, 45, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",17.6,116694147072
59,1735864241.3040702,"[40, 42, 44, 42]","[6515064832, 6673137664, 6666059776, 6515064832]",17.9,116677394432
60,1735864242.3060808,"[37, 45, 41, 43]","[6515064832, 6673137664, 6666059776, 6515064832]",15.1,116844969984
61,1735864243.308276,"[42, 39, 41, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",14.8,116790304768
62,1735864244.310523,"[39, 45, 41, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",13.5,117872033792
63,1735864245.312259,"[34, 44, 42, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",14.1,118195699712
64,1735864246.3142564,"[40, 38, 45, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",14.9,117852082176
65,1735864247.3164473,"[40, 39, 45, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",16.9,118456446976
66,1735864248.3187847,"[38, 46, 41, 37]","[6515064832, 6673137664, 6666059776, 6515064832]",15.5,119048175616
67,1735864249.3207936,"[36, 42, 38, 39]","[6515064832, 6673137664, 6666059776, 6515064832]",16.4,119623176192
68,1735864250.3227627,"[43, 40, 38, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",17.2,119011106816
69,1735864251.3247185,"[43, 39, 38, 39]","[6515064832, 6673137664, 6666059776, 6515064832]",19.1,119959412736
70,1735864252.3266537,"[47, 41, 35, 43]","[6515064832, 6673137664, 6666059776, 6515064832]",18.6,119617499136
71,1735864253.3285625,"[45, 38, 38, 36]","[6515064832, 6673137664, 6666059776, 6515064832]",20.3,120244748288
72,1735864254.330497,"[47, 39, 38, 39]","[6515064832, 6673137664, 6666059776, 6515064832]",16.6,120541589504
73,1735864255.3324554,"[45, 38, 39, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",15.9,120840372224
74,1735864256.3343647,"[43, 42, 42, 43]","[6515064832, 6673137664, 6666059776, 6515064832]",13.4,120836546560
75,1735864257.3363433,"[43, 45, 37, 47]","[6515064832, 6673137664, 6666059776, 6515064832]",17.7,121137909760
76,1735864258.3386185,"[70, 72, 21, 72]","[6515064832, 6673137664, 6666059776, 6515064832]",18.6,121894608896
77,1735864259.3405414,"[39, 39, 37, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",21.1,121705340928
78,1735864260.3418167,"[68, 71, 69, 23]","[6515064832, 6673137664, 6666059776, 6515064832]",17.9,122001600512
79,1735864261.3436878,"[45, 37, 38, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",16.0,122614788096
80,1735864262.345724,"[44, 38, 45, 42]","[6515064832, 6673137664, 6666059776, 6515064832]",15.5,122922688512
81,1735864263.3475988,"[42, 46, 40, 44]","[6515064832, 6673137664, 6666059776, 6515064832]",18.5,123230355456
82,1735864264.3498533,"[44, 30, 25, 43]","[6515064832, 6673137664, 6666059776, 6515064832]",15.8,123226185728
83,1735864265.3519037,"[39, 40, 39, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",15.2,123035283456
84,1735864266.354107,"[42, 42, 35, 41]","[6515064832, 6673137664, 6666059776, 6515064832]",12.7,122908860416
85,1735864267.3560348,"[40, 43, 37, 40]","[6515064832, 6673137664, 6666059776, 6515064832]",14.3,123180851200
86,1735864268.3578649,"[37, 44, 44, 39]","[6515064832, 6673137664, 6666059776, 6515064832]",17.7,123425566720
87,1735864269.359772,"[11, 11, 14, 5]","[5590220800, 5597298688, 5590220800, 5590220800]",19.0,124506136576
88,1735864270.3617036,"[0, 0, 0, 52]","[928710656, 935788544, 928710656, 928710656]",20.1,112895045632
