iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,113.49369812011719,995329536,663553536
1,54.57219314575195,995329536,663553536
2,59.23846435546875,995329536,663553536
3,98.95516967773438,995329536,663553536
4,54.11036682128906,995329536,663553536
5,51.32134246826172,995329536,663553536
6,54.537025451660156,995329536,663553536
7,68.42355346679688,995329536,663553536
8,52.780513763427734,995329536,663553536
9,52.04985427856445,995329536,663553536
10,52.27644729614258,995329536,663553536
11,56.7281608581543,995329536,663553536
12,50.576351165771484,995329536,663553536
13,51.5684814453125,995329536,663553536
14,52.099552154541016,995329536,663553536
15,52.031776428222656,995329536,663553536
16,56.76028823852539,995329536,663553536
17,51.298561096191406,995329536,663553536
18,51.77452850341797,995329536,663553536
19,51.390113830566406,995329536,663553536
20,51.244319915771484,995329536,663553536
21,54.18272018432617,995329536,663553536
22,52.06963348388672,995329536,663553536
23,51.278560638427734,995329536,663553536
24,50.8152961730957,995329536,663553536
25,55.0280647277832,995329536,663553536
26,51.66012954711914,995329536,663553536
27,51.00873565673828,995329536,663553536
28,50.917022705078125,995329536,663553536
29,51.07129669189453,995329536,663553536
30,52.16524887084961,995329536,663553536
31,60.678367614746094,995329536,663553536
32,51.22963333129883,995329536,663553536
33,66.96147155761719,995329536,663553536
34,51.16960144042969,995329536,663553536
35,54.53308868408203,995329536,663553536
36,51.23231887817383,995329536,663553536
37,51.4337272644043,995329536,663553536
38,51.08723068237305,995329536,663553536
39,51.53276824951172,995329536,663553536
40,50.913631439208984,995329536,663553536
41,51.20684814453125,995329536,663553536
42,53.636959075927734,995329536,663553536
43,51.83772659301758,995329536,663553536
44,53.82556915283203,995329536,663553536
45,51.307167053222656,995329536,663553536
46,50.75279998779297,995329536,663553536
47,58.89878463745117,995329536,663553536
48,51.56371307373047,995329536,663553536
49,51.19945526123047,995329536,663553536
50,51.36006546020508,995329536,663553536
51,55.975711822509766,995329536,663553536
52,55.15087890625,995329536,663553536
53,51.06953430175781,995329536,663553536
54,50.73676681518555,995329536,663553536
55,51.38307189941406,995329536,663553536
56,54.36457443237305,995329536,663553536
57,51.05718231201172,995329536,663553536
58,64.20054626464844,995329536,663553536
59,51.44083023071289,995329536,663553536
60,50.7836799621582,995329536,663553536
61,51.08009719848633,995329536,663553536
62,58.56419372558594,995329536,663553536
63,51.96271896362305,995329536,663553536
64,62.13350296020508,995329536,663553536
65,51.52336120605469,995329536,663553536
66,50.88492965698242,995329536,663553536
67,52.43193435668945,995329536,663553536
68,51.03673553466797,995329536,663553536
69,53.01155090332031,995329536,663553536
70,51.85785675048828,995329536,663553536
71,51.67782211303711,995329536,663553536
72,51.44454574584961,995329536,663553536
73,51.479583740234375,995329536,663553536
74,52.77756881713867,995329536,663553536
75,52.54275131225586,995329536,663553536
76,51.410465240478516,995329536,663553536
77,51.4279670715332,995329536,663553536
78,52.393089294433594,995329536,663553536
79,51.17747116088867,995329536,663553536
80,52.27347183227539,995329536,663553536
81,51.57478332519531,995329536,663553536
82,55.03132629394531,995329536,663553536
83,50.85443115234375,995329536,663553536
84,62.96905517578125,995329536,663553536
85,54.29609680175781,995329536,663553536
86,65.238525390625,995329536,663553536
87,51.556705474853516,995329536,663553536
88,52.720542907714844,995329536,663553536
89,50.712257385253906,995329536,663553536
90,51.24950408935547,995329536,663553536
91,51.427425384521484,995329536,663553536
92,52.3675537109375,995329536,663553536
93,51.04297637939453,995329536,663553536
94,50.86016082763672,995329536,663553536
95,51.47804641723633,995329536,663553536
96,51.20435333251953,995329536,663553536
97,61.55324935913086,995329536,663553536
98,51.653953552246094,995329536,663553536
99,55.193023681640625,995329536,663553536
