,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1735860972.8108296,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",0.0,108574576640
1,1735860973.8172936,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",26.8,109832544256
2,1735860974.8192463,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",17.6,110235148288
3,1735860975.8212843,"[0, 0, 0, 0]","[928710656, 935788544, 928710656, 928710656]",16.6,110878310400
4,1735860976.8234107,"[0, 0, 0, 0]","[928710656, 953417728, 946405376, 1368653824]",13.1,111208292352
5,1735860977.8306208,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",39.2,115174625280
6,1735860978.832038,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",84.3,117338587136
7,1735860979.83394,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1368653824]",98.6,118643814400
8,1735860980.8359842,"[0, 0, 0, 0]","[928710656, 1375731712, 1368653824, 1681129472]",80.2,118160691200
9,1735860981.838048,"[0, 10, 9, 0]","[2016673792, 2023751680, 2016673792, 2016673792]",22.1,115045720064
10,1735860982.8400548,"[0, 0, 0, 8]","[2016673792, 2023751680, 2016673792, 4034134016]",31.5,115507539968
11,1735860983.8420331,"[5, 6, 3, 4]","[4086562816, 4093640704, 4086562816, 4086562816]",17.8,116934533120
12,1735860984.8460727,"[0, 0, 0, 0]","[4740874240, 4898947072, 4891869184, 4740874240]",21.7,116887785472
13,1735860985.8500857,"[62, 63, 60, 60]","[6022234112, 6180306944, 6173229056, 6022234112]",22.8,117287374848
14,1735860986.8520496,"[62, 60, 61, 61]","[6022234112, 6180306944, 6173229056, 6022234112]",22.7,117569855488
15,1735860987.8539298,"[61, 58, 61, 62]","[6022234112, 6180306944, 6173229056, 6022234112]",19.1,117487341568
16,1735860988.8559117,"[65, 62, 61, 61]","[6022234112, 6180306944, 6173229056, 6022234112]",19.4,117661863936
17,1735860989.857797,"[64, 62, 63, 63]","[6022234112, 6180306944, 6173229056, 6022234112]",15.8,117997920256
18,1735860990.8597264,"[63, 60, 64, 64]","[6022234112, 6180306944, 6173229056, 6022234112]",17.0,118361133056
19,1735860991.8616877,"[62, 66, 64, 63]","[6022234112, 6180306944, 6173229056, 6022234112]",16.2,118398124032
20,1735860992.8638964,"[63, 65, 64, 65]","[6022234112, 6180306944, 6173229056, 6022234112]",17.5,118655246336
21,1735860993.8658476,"[63, 65, 59, 60]","[6022234112, 6180306944, 6173229056, 6022234112]",17.8,118859956224
22,1735860994.8678465,"[62, 61, 64, 63]","[6022234112, 6180306944, 6173229056, 6022234112]",17.1,118781100032
23,1735860995.8700929,"[60, 61, 64, 64]","[6022234112, 6180306944, 6173229056, 6022234112]",18.6,119254409216
24,1735860996.8720725,"[62, 66, 59, 65]","[6022234112, 6180306944, 6173229056, 6022234112]",19.9,119591534592
25,1735860997.874106,"[65, 65, 63, 63]","[6022234112, 6180306944, 6173229056, 6022234112]",19.5,120021590016
26,1735860998.876127,"[64, 64, 65, 63]","[6022234112, 6180306944, 6173229056, 6022234112]",17.4,120210358272
27,1735860999.878118,"[64, 63, 61, 59]","[6022234112, 6180306944, 6173229056, 6022234112]",16.8,120692666368
28,1735861000.8811986,"[65, 66, 59, 60]","[6022234112, 6180306944, 6173229056, 6022234112]",19.6,121312796672
29,1735861001.8832407,"[65, 62, 64, 64]","[6022234112, 6180306944, 6173229056, 6022234112]",12.1,121380724736
30,1735861002.8852115,"[60, 61, 64, 64]","[6022234112, 6180306944, 6173229056, 6022234112]",18.0,121140629504
31,1735861003.887233,"[60, 66, 64, 62]","[6022234112, 6180306944, 6173229056, 6022234112]",19.4,121500471296
32,1735861004.889306,"[64, 66, 64, 64]","[6022234112, 6180306944, 6173229056, 6022234112]",18.9,121825722368
33,1735861005.8912392,"[0, 0, 12, 10]","[5097390080, 5104467968, 5097390080, 5097390080]",15.6,122644545536
34,1735861006.8932252,"[0, 18, 0, 8]","[928710656, 935788544, 928710656, 928710656]",17.5,117843582976
