iteration,latency (ms),total number of bytes sent,total number of bytes recv
0,95.01363372802734,552963072,368643072
1,86.68889617919922,552963072,368643072
2,97.59677124023438,552963072,368643072
3,94.3930892944336,552963072,368643072
4,92.15433502197266,552963072,368643072
5,96.25401306152344,552963072,368643072
6,93.53334045410156,552963072,368643072
7,88.65484619140625,552963072,368643072
8,97.26573181152344,552963072,368643072
9,89.96479797363281,552963072,368643072
10,87.92412567138672,552963072,368643072
11,91.71942138671875,552963072,368643072
12,97.56092834472656,552963072,368643072
13,88.12646484375,552963072,368643072
14,88.62928009033203,552963072,368643072
15,94.79910278320312,552963072,368643072
16,88.9016342163086,552963072,368643072
17,87.73907470703125,552963072,368643072
18,90.07123565673828,552963072,368643072
19,88.89871978759766,552963072,368643072
20,90.69792175292969,552963072,368643072
21,89.9183349609375,552963072,368643072
22,90.18739318847656,552963072,368643072
23,92.46163177490234,552963072,368643072
24,87.3629150390625,552963072,368643072
25,107.40962982177734,552963072,368643072
26,87.1431655883789,552963072,368643072
27,88.6328353881836,552963072,368643072
28,104.86521911621094,552963072,368643072
29,90.93097686767578,552963072,368643072
30,86.611328125,552963072,368643072
31,87.99555206298828,552963072,368643072
32,90.08297729492188,552963072,368643072
33,95.18633270263672,552963072,368643072
34,94.6845474243164,552963072,368643072
35,87.8222427368164,552963072,368643072
36,87.96761322021484,552963072,368643072
37,88.12809753417969,552963072,368643072
38,96.08182525634766,552963072,368643072
39,88.43673706054688,552963072,368643072
40,86.9994888305664,552963072,368643072
41,91.7047348022461,552963072,368643072
42,90.1949462890625,552963072,368643072
43,88.59171295166016,552963072,368643072
44,92.48271942138672,552963072,368643072
45,88.97471618652344,552963072,368643072
46,91.92211151123047,552963072,368643072
47,93.48099517822266,552963072,368643072
48,88.9525146484375,552963072,368643072
49,89.3123550415039,552963072,368643072
50,86.93468475341797,552963072,368643072
51,88.5066909790039,552963072,368643072
52,89.24832153320312,552963072,368643072
53,89.79647827148438,552963072,368643072
54,91.3631362915039,552963072,368643072
55,86.64409637451172,552963072,368643072
56,87.82662200927734,552963072,368643072
57,88.09542083740234,552963072,368643072
58,87.01538848876953,552963072,368643072
59,101.95747375488281,552963072,368643072
60,97.10336303710938,552963072,368643072
61,89.21218872070312,552963072,368643072
62,89.62643432617188,552963072,368643072
63,87.39734649658203,552963072,368643072
64,86.7738265991211,552963072,368643072
65,91.05305480957031,552963072,368643072
66,452.318603515625,552963072,368643072
67,91.86454772949219,552963072,368643072
68,97.55184173583984,552963072,368643072
69,91.89615631103516,552963072,368643072
70,89.5650863647461,552963072,368643072
71,87.98355102539062,552963072,368643072
72,87.72064208984375,552963072,368643072
73,92.31088256835938,552963072,368643072
74,89.43331146240234,552963072,368643072
75,87.99100494384766,552963072,368643072
76,86.98617553710938,552963072,368643072
77,96.84524536132812,552963072,368643072
78,88.95683288574219,552963072,368643072
79,183.8198699951172,552963072,368643072
80,89.17571258544922,552963072,368643072
81,92.83229064941406,552963072,368643072
82,88.84476470947266,552963072,368643072
83,87.2287368774414,552963072,368643072
84,99.31116485595703,552963072,368643072
85,92.39170837402344,552963072,368643072
86,90.9967041015625,552963072,368643072
87,102.96803283691406,552963072,368643072
88,88.75347137451172,552963072,368643072
89,90.28627014160156,552963072,368643072
90,103.7325439453125,552963072,368643072
91,94.51315307617188,552963072,368643072
92,88.0877456665039,552963072,368643072
93,100.87830352783203,552963072,368643072
94,88.65679931640625,552963072,368643072
95,89.4881591796875,552963072,368643072
96,95.56537628173828,552963072,368643072
97,91.02992248535156,552963072,368643072
98,90.76908874511719,552963072,368643072
99,93.19570922851562,552963072,368643072
