,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736094615.291398,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,49723494400
1,1736094616.2979555,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",16.3,50495954944
2,1736094617.2999504,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",8.0,51041218560
3,1736094618.3022716,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",4.0,51295518720
4,1736094619.3076646,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.2,51662446592
5,1736094620.3096125,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.9,51960590336
6,1736094621.3117125,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.6,51964919808
7,1736094622.3136024,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.5,52045352960
8,1736094623.3157136,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",53.8,60357558272
9,1736094624.3174334,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,62165303296
10,1736094625.3194273,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,63971819520
11,1736094626.3214202,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.3,65786101760
12,1736094627.3234012,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,67446329344
13,1736094628.3254457,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,69061197824
14,1736094629.3274262,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.1,70906114048
15,1736094630.329461,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,72965181440
16,1736094631.331432,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.6,74652409856
17,1736094632.333454,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.8,76385910784
18,1736094633.3354366,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,77981544448
19,1736094634.3374293,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,79602884608
20,1736094635.3394082,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,81273131008
21,1736094636.341374,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.6,82902978560
22,1736094637.3433905,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.5,84989353984
23,1736094638.3454523,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,87207587840
24,1736094639.347404,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,88399085568
25,1736094640.3494332,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,89956827136
26,1736094641.3514032,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,91685847040
27,1736094642.3534224,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,93389246464
28,1736094643.3553977,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,93925076992
29,1736094644.3573694,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,95986225152
30,1736094645.3594463,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",81.0,102855626752
31,1736094646.3614323,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",73.4,112407986176
32,1736094647.3634622,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.5,114883887104
33,1736094648.365436,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,116707893248
34,1736094649.3674064,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,118510202880
35,1736094650.3693757,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,120303067136
36,1736094651.371423,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.7,122136952832
37,1736094652.3734221,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.7,123771424768
38,1736094653.3753903,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.2,125440745472
39,1736094654.377367,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.3,127229480960
40,1736094655.3793914,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,129046724608
41,1736094656.381357,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,130812166144
42,1736094657.3834045,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,132345688064
43,1736094658.3853736,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,134202425344
44,1736094659.3874397,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.0,135908884480
45,1736094660.3894684,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,137576980480
46,1736094661.3914645,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.4,139291656192
47,1736094662.3934276,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.6,140936282112
48,1736094663.3953834,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,142633549824
49,1736094664.397326,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,144357539840
50,1736094665.3993733,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,145964281856
51,1736094666.401349,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.4,147710193664
52,1736094667.403401,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.4,149760868352
53,1736094668.4054732,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",33.1,154935955456
54,1736094669.407473,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.6,159081660416
55,1736094670.4094205,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,159988154368
56,1736094671.411272,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.6,160910086144
57,1736094672.4131792,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,161102348288
