iteration,latency (ms),total number of bytes sent,total number of bytes recv,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data
0,5056.57275390625,552961536,368641536,33.068382263183594,4925.529296875,39.47321701049805,4.244256019592285,53.57731246948242
1,55.47654342651367,552961536,368641536,10.101119995117188,4.243680000305176,24.159008026123047,2.4487359523773193,14.05344009399414
2,52.897247314453125,552961536,368641536,10.087807655334473,7.356512069702148,23.473983764648438,2.581984043121338,8.977343559265137
3,51.60726547241211,552961536,368641536,10.300095558166504,6.11952018737793,23.62588882446289,2.07260799407959,9.067647933959961
4,48.719200134277344,552961536,368641536,10.230496406555176,2.293503999710083,23.574880599975586,3.2105278968811035,8.991680145263672
5,48.16972732543945,552961536,368641536,10.199584007263184,2.380255937576294,24.074495315551758,1.967519998550415,9.110591888427734
6,48.07379150390625,552961536,368641536,10.305983543395996,2.3046720027923584,23.998815536499023,1.9656319618225098,9.077055931091309
7,52.290687561035156,552961536,368641536,10.634207725524902,6.341279983520508,23.45110321044922,2.191135883331299,9.242591857910156
8,49.31488037109375,552961536,368641536,10.279328346252441,3.6369919776916504,23.977760314941406,1.9573760032653809,9.044095993041992
9,48.08918380737305,552961536,368641536,10.304287910461426,2.311583995819092,23.27177619934082,2.748415946960449,9.037471771240234
10,47.25766372680664,552961536,368641536,10.234047889709473,2.307039976119995,23.069055557250977,2.197632074356079,9.041343688964844
11,49.65955352783203,552961536,368641536,10.170816421508789,4.343296051025391,23.103103637695312,2.545919895172119,9.08291244506836
12,49.183616638183594,552961536,368641536,10.343071937561035,3.8011200428009033,23.058368682861328,2.567487955093384,9.002816200256348
13,52.305824279785156,552961536,368641536,10.206560134887695,6.808640003204346,22.775968551635742,3.039167881011963,9.03996753692627
14,47.35023880004883,552961536,368641536,10.289695739746094,2.351775884628296,23.099071502685547,2.1191680431365967,9.070303916931152
15,48.373374938964844,552961536,368641536,10.149375915527344,2.284287929534912,22.840576171875,3.689984083175659,8.995743751525879
16,50.27231979370117,552961536,368641536,10.191776275634766,5.400544166564941,22.770496368408203,2.508671998977661,8.991904258728027
17,47.193119049072266,552961536,368641536,10.163871765136719,2.327455997467041,22.746944427490234,2.5244479179382324,9.013919830322266
18,48.399871826171875,552961536,368641536,10.297856330871582,2.6576640605926514,22.877023696899414,2.5478079319000244,9.358207702636719
19,47.59990310668945,552961536,368641536,10.234175682067871,2.38755202293396,22.967327117919922,2.5556800365448,9.035103797912598
20,49.399070739746094,552961536,368641536,10.219840049743652,4.208767890930176,22.84716796875,2.615328073501587,9.080927848815918
21,48.196895599365234,552961536,368641536,10.594783782958984,2.468928098678589,23.37811279296875,2.2753920555114746,9.047967910766602
