iteration,latency (ms),total number of bytes sent,total number of bytes recv,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data
0,29.987712860107422,4609536,3073536,7.8869757652282715,0.9615359902381897,12.944992065429688,0.6039360165596008,7.237311840057373
1,30.009599685668945,4609536,3073536,7.862207889556885,0.9522240161895752,13.080415725708008,0.4705600142478943,7.306015968322754
2,30.6092472076416,4609536,3073536,7.976128101348877,0.9648320078849792,13.468064308166504,0.5180799961090088,7.340256214141846
3,29.939584732055664,4609536,3073536,7.844639778137207,1.0992319583892822,12.888992309570312,0.5575360059738159,7.214560031890869
4,39.23068618774414,4609536,3073536,7.916128158569336,7.082719802856445,13.234208106994629,3.3375039100646973,7.322271823883057
5,33.34630584716797,4609536,3073536,7.787936210632324,1.0391680002212524,12.616288185119629,4.401887893676758,7.155456066131592
6,30.172447204589844,4609536,3073536,7.858496189117432,1.618656039237976,12.534239768981934,0.6168320178985596,7.206208229064941
7,29.552160263061523,4609536,3073536,7.819263935089111,1.0560640096664429,12.489312171936035,0.7052479982376099,7.15388822555542
8,30.00374412536621,4609536,3073536,7.90169620513916,1.0777920484542847,12.747679710388184,0.5842559933662415,7.361248016357422
9,30.8656005859375,4609536,3073536,7.9317121505737305,1.0972800254821777,14.001728057861328,0.20585599541664124,7.292352199554443
10,29.445791244506836,4609536,3073536,7.8766398429870605,0.9868800044059753,12.484800338745117,0.5587199926376343,7.206399917602539
11,30.29430389404297,4609536,3073536,7.844511985778809,1.0683200359344482,13.145695686340332,0.5919039845466614,7.3033599853515625
12,30.889728546142578,4609536,3073536,7.95308780670166,1.1552319526672363,13.535648345947266,0.6600639820098877,7.251488208770752
13,30.356576919555664,4609536,3073536,7.923295974731445,1.1549439430236816,13.068927764892578,0.6357759833335876,7.24073600769043
14,30.03900718688965,4609536,3073536,7.971104145050049,0.5008959770202637,12.96947193145752,1.0270400047302246,7.221280097961426
15,30.38960075378418,4609536,3073536,7.870528221130371,1.089951992034912,13.249024391174316,0.5546240210533142,7.295519828796387
16,31.500511169433594,4609536,3073536,7.954495906829834,1.2336959838867188,13.83670425415039,0.8138880133628845,7.318592071533203
17,29.957183837890625,4609536,3073536,7.869696140289307,1.0570240020751953,12.822431564331055,0.6329920291900635,7.223328113555908
18,29.940319061279297,4609536,3073536,7.882880210876465,1.2887359857559204,12.612704277038574,0.5838720202445984,7.229440212249756
19,30.02521514892578,4609536,3073536,7.8554558753967285,1.0820800065994263,12.953632354736328,0.49510401487350464,7.295839786529541
20,30.005599975585938,4609536,3073536,7.902527809143066,1.0062400102615356,12.867072105407715,0.6282560229301453,7.268511772155762
21,30.292224884033203,4609536,3073536,7.907455921173096,1.041599988937378,13.061311721801758,0.5855680108070374,7.348351955413818
22,30.156095504760742,4609536,3073536,7.882976055145264,1.0236799716949463,13.428128242492676,0.22998400032520294,7.243008136749268
23,30.165056228637695,4609536,3073536,7.8600640296936035,1.0190720558166504,12.508255958557129,0.5851839780807495,7.842080116271973
24,30.46847915649414,4609536,3073536,7.955008029937744,1.0560640096664429,13.22867202758789,0.5857599973678589,7.295839786529541
25,29.263296127319336,4609536,3073536,7.819392204284668,1.0818239450454712,12.271200180053711,0.54339200258255,7.221216201782227
26,30.30678367614746,4609536,3073536,7.880959987640381,1.0416959524154663,13.276384353637695,0.5406720042228699,7.234752178192139
27,30.16739273071289,4609536,3073536,7.991968154907227,0.8942400217056274,13.189888000488281,0.4397439956665039,7.321216106414795
28,30.889984130859375,4609536,3073536,8.014656066894531,1.0521279573440552,13.613504409790039,0.6015999913215637,7.259583950042725
29,29.481504440307617,4609536,3073536,7.811647891998291,1.0728960037231445,12.274208068847656,0.4504320025444031,7.5135040283203125
30,30.225215911865234,4609536,3073536,7.959519863128662,0.8228480219841003,13.172287940979004,0.5745919942855835,7.360864162445068
31,30.05388832092285,4609536,3073536,7.930111885070801,1.057919979095459,12.917216300964355,0.5850880146026611,7.233759880065918
32,30.916160583496094,4609536,3073536,7.862527847290039,1.049888014793396,12.94649600982666,0.8462399840354919,7.752831935882568
33,29.291616439819336,4609536,3073536,7.791423797607422,1.0824960470199585,12.405088424682617,0.5010240077972412,7.183040142059326
34,30.393823623657227,4609536,3073536,7.832223892211914,2.13702392578125,12.371456146240234,0.5589759945869446,7.166079998016357
35,33.13961410522461,4609536,3073536,7.90342378616333,3.881119966506958,13.218720436096191,0.5555199980735779,7.238336086273193
36,29.090688705444336,4609536,3073536,7.7869439125061035,1.0111039876937866,12.203583717346191,0.5837439894676208,7.174176216125488
37,30.167583465576172,4609536,3073536,7.917407989501953,0.9070720076560974,13.084927558898926,0.6594560146331787,7.243936061859131
38,30.615840911865234,4609536,3073536,7.843200206756592,1.254688024520874,13.506303787231445,0.27823999524116516,7.390079975128174
39,30.77471923828125,4609536,3073536,7.919136047363281,1.6180800199508667,13.370176315307617,0.22435200214385986,7.306335926055908
40,30.61574363708496,4609536,3073536,7.835968017578125,1.107807993888855,12.581855773925781,1.526528000831604,7.218815803527832
41,30.95123291015625,4609536,3073536,7.938784122467041,1.0433919429779053,13.297823905944824,0.9730560183525085,7.364799976348877
42,29.344608306884766,4609536,3073536,7.828864097595215,1.1578240394592285,12.244128227233887,0.5114560127258301,7.276735782623291
43,29.724767684936523,4609536,3073536,7.90115213394165,0.8653439879417419,12.889920234680176,0.4514560103416443,7.28934383392334
44,29.404096603393555,4609536,3073536,7.907423973083496,0.9128000140190125,12.540608406066895,0.4854080080986023,7.230463981628418
45,87.62531280517578,4609536,3073536,8.011872291564941,54.87964630126953,13.239104270935059,3.871488094329834,7.283391952514648
46,30.146432876586914,4609536,3073536,7.898143768310547,1.097983956336975,13.078816413879395,0.5315200090408325,7.20633602142334
47,29.524799346923828,4609536,3073536,7.858304023742676,1.3366080522537231,12.298336029052734,0.420991986989975,7.28604793548584
48,30.46486473083496,4609536,3073536,7.924032211303711,1.0416640043258667,13.273152351379395,0.5025280117988586,7.391520023345947
49,30.251232147216797,4609536,3073536,7.833536148071289,1.0930880308151245,12.524736404418945,1.2137600183486938,7.256800174713135
50,35.34025573730469,4609536,3073536,7.786367893218994,6.545472145080566,12.187135696411133,1.3380800485610962,7.1566081047058105
51,30.45471954345703,4609536,3073536,7.896096229553223,1.2108479738235474,13.011391639709473,0.7115839719772339,7.279871940612793
52,29.962112426757812,4609536,3073536,7.886015892028809,1.0707839727401733,12.810943603515625,0.5648959875106812,7.28553581237793
53,30.48428726196289,4609536,3073536,7.9383039474487305,1.1456639766693115,13.105024337768555,0.673088014125824,7.285664081573486
54,30.298784255981445,4609536,3073536,7.909791946411133,1.0127999782562256,13.164799690246582,0.5905920267105103,7.2770562171936035
55,31.370752334594727,4609536,3073536,7.925471782684326,1.083359956741333,13.252096176147461,1.4647040367126465,7.310175895690918
56,28.896703720092773,4609536,3073536,7.884031772613525,0.4467200040817261,12.523296356201172,0.5358080267906189,7.176640033721924
57,29.65839958190918,4609536,3073536,7.857247829437256,1.0958720445632935,12.480640411376953,0.6729919910430908,7.221759796142578
58,30.945728302001953,4609536,3073536,7.950719833374023,1.004480004310608,13.654111862182617,0.6390720009803772,7.3581438064575195
59,38.07353591918945,4609536,3073536,7.90723180770874,1.7800639867782593,13.017248153686523,7.787007808685303,7.23964786529541
60,30.186304092407227,4609536,3073536,7.914912223815918,1.1264959573745728,12.96288013458252,0.5612800121307373,7.28931188583374
61,29.871967315673828,4609536,3073536,7.827871799468994,1.0994880199432373,12.948287963867188,0.4458560049533844,7.220064163208008
62,29.97612762451172,4609536,3073536,7.871679782867432,1.0514240264892578,12.42950439453125,0.5175679922103882,7.777279853820801
63,29.388511657714844,4609536,3073536,7.875232219696045,0.393312007188797,13.000127792358398,0.5263680219650269,7.262080192565918
64,29.89664077758789,4609536,3073536,7.848063945770264,1.142367959022522,12.775551795959473,0.5341439843177795,7.2478718757629395
65,30.678943634033203,4609536,3073536,7.937056064605713,1.1418880224227905,13.336319923400879,0.6194559931755066,7.306335926055908
66,29.105472564697266,4609536,3073536,7.779712200164795,1.159551978111267,12.015007972717285,0.6726719737052917,7.155519962310791
67,30.13654327392578,4609536,3073536,7.899744033813477,1.1274240016937256,13.023296356201172,0.5114560127258301,7.240960121154785
68,30.09587287902832,4609536,3073536,7.8921918869018555,1.1493439674377441,13.095552444458008,0.4445120096206665,7.1809282302856445
69,29.63817596435547,4609536,3073536,7.856927871704102,1.080575942993164,12.555968284606934,0.6099519729614258,7.201920032501221
70,29.775487899780273,4609536,3073536,7.895071983337402,0.9699519872665405,12.739775657653809,0.601472020149231,7.240575790405273
71,30.26166343688965,4609536,3073536,7.910880088806152,1.074463963508606,13.12172794342041,0.5524799823760986,7.266560077667236
72,29.547136306762695,4609536,3073536,7.920351982116699,0.9801920056343079,12.47430419921875,0.5673919916152954,7.278111934661865
73,29.814016342163086,4609536,3073536,7.942592144012451,1.00108802318573,12.666815757751465,0.6840320229530334,7.189151763916016
74,30.19443130493164,4609536,3073536,7.934783935546875,1.191872000694275,12.979552268981934,0.5155839920043945,7.2251200675964355
75,29.221216201782227,4609536,3073536,7.7999677658081055,1.2099519968032837,11.97657585144043,0.5608320236206055,7.315584182739258
76,30.810272216796875,4609536,3073536,7.938975811004639,1.5767680406570435,13.090944290161133,0.6161919832229614,7.24835205078125
77,29.014144897460938,4609536,3073536,7.8275837898254395,1.077728033065796,11.959648132324219,0.5913280248641968,7.235328197479248
78,29.615039825439453,4609536,3073536,7.860640048980713,1.097856044769287,12.597151756286621,0.5521280169487,7.17852783203125
79,30.1680965423584,4609536,3073536,7.9047040939331055,1.0561920404434204,13.007455825805664,0.6068480014801025,7.261375904083252
80,29.667072296142578,4609536,3073536,7.920383930206299,1.040992021560669,12.60483169555664,0.528544008731842,7.2409281730651855
81,30.098207473754883,4609536,3073536,8.011743545532227,1.050719976425171,13.0098237991333,0.44310399889945984,7.25324821472168
82,30.771167755126953,4609536,3073536,7.848639965057373,1.130303978919983,13.8787841796875,0.24108800292015076,7.324575901031494
83,31.165855407714844,4609536,3073536,7.902719974517822,1.120736002922058,13.623200416564941,0.6341120004653931,7.545248031616211
84,29.891136169433594,4609536,3073536,7.87721586227417,1.157312035560608,12.737088203430176,0.5486720204353333,7.223104000091553
85,30.59494400024414,4609536,3073536,7.922239780426025,1.1976959705352783,13.150688171386719,0.7368959784507751,7.254720211029053
86,29.992095947265625,4609536,3073536,8.09763240814209,0.9337279796600342,12.677408218383789,0.6339520215988159,7.3224639892578125
87,30.42412757873535,4609536,3073536,7.916255950927734,1.0607680082321167,13.185279846191406,0.6265919804573059,7.30620813369751
88,29.83350372314453,4609536,3073536,7.8654398918151855,1.1717760562896729,12.774784088134766,0.47148799896240234,7.220799922943115
89,29.867136001586914,4609536,3073536,7.829792022705078,1.1960320472717285,12.62707233428955,0.5857920050621033,7.2991042137146
90,30.242656707763672,4609536,3073536,7.990047931671143,1.0154240131378174,13.123744010925293,0.5298879742622375,7.254047870635986
91,31.093759536743164,4609536,3073536,7.990943908691406,1.0896639823913574,13.587103843688965,0.5421440005302429,7.544928073883057
92,30.545120239257812,4609536,3073536,8.065983772277832,1.0717120170593262,13.220512390136719,0.5497919917106628,7.29091215133667
93,30.584096908569336,4609536,3073536,7.891647815704346,1.1463680267333984,13.256287574768066,0.7063680291175842,7.248703956604004
94,29.93110466003418,4609536,3073536,7.869503974914551,1.016543984413147,12.9236478805542,0.5605760216712952,7.2284159660339355
95,30.245792388916016,4609536,3073536,7.986559867858887,1.0334080457687378,13.023455619812012,0.5759040117263794,7.292479991912842
96,29.75071907043457,4609536,3073536,7.826560020446777,1.0646400451660156,12.66147232055664,0.640064001083374,7.219935894012451
97,34.043678283691406,4609536,3073536,7.867072105407715,4.72649621963501,13.10041618347168,0.7568960189819336,7.244736194610596
98,30.565216064453125,4609536,3073536,7.941887855529785,1.158400058746338,13.299296379089355,0.6128000020980835,7.217599868774414
99,30.47555160522461,4609536,3073536,7.904799938201904,1.1311359405517578,13.11190414428711,0.688480019569397,7.306335926055908
