,timestamp,gpu_util,gpu_mem_used,cpu_util,cpu_mem_used
0,1736095222.3877678,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",0.0,60898996224
1,1736095223.394072,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",14.4,61646479360
2,1736095224.396002,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",4.7,61925384192
3,1736095225.3974082,"[0, 0, 0, 0]","[928710656, 928710656, 928710656, 928710656]",4.1,62355058688
4,1736095226.4074693,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",5.5,63742062592
5,1736095227.4096696,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",6.6,63419928576
6,1736095228.4116113,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.8,63419195392
7,1736095229.4135554,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",4.7,63419748352
8,1736095230.4153855,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",62.8,67233603584
9,1736095231.417375,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.8,68970471424
10,1736095232.419429,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.7,70757253120
11,1736095233.4214313,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,72471666688
12,1736095234.4234006,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.6,74295775232
13,1736095235.4253135,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.5,76106211328
14,1736095236.4273665,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,77783298048
15,1736095237.429361,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,79414661120
16,1736095238.43137,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",98.0,81213739008
17,1736095239.43335,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.7,83114622976
18,1736095240.4353654,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.0,84859580416
19,1736095241.4374428,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,86767812608
20,1736095242.439437,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.9,88563740672
21,1736095243.441445,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,90357628928
22,1736095244.443415,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.0,92056965120
23,1736095245.4454298,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.6,93829652480
24,1736095246.4474132,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.8,95589502976
25,1736095247.449455,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.9,97307615232
26,1736095248.4514747,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",85.7,101192609792
27,1736095249.4534357,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",37.0,105944834048
28,1736095250.4554338,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.2,107628969984
29,1736095251.4574451,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",86.9,109106761728
30,1736095252.4594429,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.7,110862221312
31,1736095253.4614348,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.9,112346046464
32,1736095254.4634278,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,113940123648
33,1736095255.4654348,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.2,115484471296
34,1736095256.4674864,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,116969181184
35,1736095257.4694307,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.1,118491938816
36,1736095258.471417,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,120140222464
37,1736095259.4734385,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.6,121746796544
38,1736095260.4754632,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.5,123197313024
39,1736095261.4774299,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,124799037440
40,1736095262.479432,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.2,127108628480
41,1736095263.4814334,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.5,129872474112
42,1736095264.4835052,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.9,131458822144
43,1736095265.4854388,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,131992236032
44,1736095266.4895017,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.9,133639548928
45,1736095267.4917164,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",97.1,135465238528
46,1736095268.4934652,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.8,136874602496
47,1736095269.495524,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.8,138460880896
48,1736095270.4974499,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.1,139994779648
49,1736095271.4995766,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.4,141676740608
50,1736095272.5014443,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.9,143447691264
51,1736095273.5034945,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.0,144954363904
52,1736095274.5054512,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.7,146767826944
53,1736095275.5074744,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.5,148492984320
54,1736095276.5094502,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,150004965376
55,1736095277.5114949,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",96.4,151859773440
56,1736095278.5134327,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.2,153437167616
57,1736095279.5154297,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,155035586560
58,1736095280.5173688,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.8,156613873664
59,1736095281.51945,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.3,158119993344
60,1736095282.5214474,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.8,159601393664
61,1736095283.5237284,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.6,161153613824
62,1736095284.5254645,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",91.1,162549858304
63,1736095285.527766,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.1,164171960320
64,1736095286.5300672,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.4,165743624192
65,1736095287.5323374,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.7,167148855296
66,1736095288.5334437,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.8,168799092736
67,1736095289.5354714,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.4,170252505088
68,1736095290.5374532,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.7,171838410752
69,1736095291.5394726,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.5,173778190336
70,1736095292.5414467,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",93.5,175817555968
71,1736095293.5434792,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.9,176460955648
72,1736095294.5473542,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",92.7,177074479104
73,1736095295.5494313,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,177723011072
74,1736095296.5515144,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",88.2,176332361728
75,1736095297.553451,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.4,175292186624
76,1736095298.5555038,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.4,176427069440
77,1736095299.5574462,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",94.5,177023008768
78,1736095300.5594852,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",90.0,175513833472
79,1736095301.5614421,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",43.5,174191980544
80,1736095302.5634797,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",83.4,172806967296
81,1736095303.5654092,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",95.1,173184274432
82,1736095304.567139,"[0, 0, 0, 0]","[928710656, 1368653824, 1368653824, 1368653824]",89.8,170893942784
