iteration,latency (ms),gpu,layer,model_type,model
0,195.90133666992188,0,moe_l1,Encoder-Decoder,DeepSpeed
1,176.54444885253906,0,moe_l1,Encoder-Decoder,DeepSpeed
2,177.1986541748047,0,moe_l1,Encoder-Decoder,DeepSpeed
3,176.60362243652344,0,moe_l1,Encoder-Decoder,DeepSpeed
4,176.75357055664062,0,moe_l1,Encoder-Decoder,DeepSpeed
5,179.73829650878906,0,moe_l1,Encoder-Decoder,DeepSpeed
6,176.5714874267578,0,moe_l1,Encoder-Decoder,DeepSpeed
7,176.99984741210938,0,moe_l1,Encoder-Decoder,DeepSpeed
8,178.08358764648438,0,moe_l1,Encoder-Decoder,DeepSpeed
9,176.62521362304688,0,moe_l1,Encoder-Decoder,DeepSpeed
10,176.89004516601562,0,moe_l1,Encoder-Decoder,DeepSpeed
11,176.64796447753906,0,moe_l1,Encoder-Decoder,DeepSpeed
12,176.69847106933594,0,moe_l1,Encoder-Decoder,DeepSpeed
13,177.13072204589844,0,moe_l1,Encoder-Decoder,DeepSpeed
14,177.14361572265625,0,moe_l1,Encoder-Decoder,DeepSpeed
15,176.66729736328125,0,moe_l1,Encoder-Decoder,DeepSpeed
16,178.33999633789062,0,moe_l1,Encoder-Decoder,DeepSpeed
17,178.1282196044922,0,moe_l1,Encoder-Decoder,DeepSpeed
18,176.41043090820312,0,moe_l1,Encoder-Decoder,DeepSpeed
19,176.86000061035156,0,moe_l1,Encoder-Decoder,DeepSpeed
20,176.9213104248047,0,moe_l1,Encoder-Decoder,DeepSpeed
21,176.79872131347656,0,moe_l1,Encoder-Decoder,DeepSpeed
22,176.83587646484375,0,moe_l1,Encoder-Decoder,DeepSpeed
23,177.14938354492188,0,moe_l1,Encoder-Decoder,DeepSpeed
24,177.09494018554688,0,moe_l1,Encoder-Decoder,DeepSpeed
25,176.60585021972656,0,moe_l1,Encoder-Decoder,DeepSpeed
26,176.88438415527344,0,moe_l1,Encoder-Decoder,DeepSpeed
27,184.70982360839844,0,moe_l1,Encoder-Decoder,DeepSpeed
28,177.91891479492188,0,moe_l1,Encoder-Decoder,DeepSpeed
29,176.88067626953125,0,moe_l1,Encoder-Decoder,DeepSpeed
