iteration,gpu,layer,Before Metadata and 1st Data,Metadata and 1st Data,Before 2nd Data,2nd Data,After 2nd Data,model_type,model
0,0,moe_l1,52.06988906860352,1797.8980712890625,6137.31591796875,42.636863708496094,46.073089599609375,Encoder-Decoder,MegaBlocks
1,0,moe_l1,10.463071823120115,18.43062400817871,17.27622413635254,1.929087996482849,9.138079643249512,Encoder-Decoder,MegaBlocks
2,0,moe_l1,10.352095603942873,13.51516819000244,17.286624908447266,2.122400045394897,9.095104217529297,Encoder-Decoder,MegaBlocks
3,0,moe_l1,10.428799629211426,2.3210558891296387,17.13408088684082,2.427648067474365,9.09715175628662,Encoder-Decoder,MegaBlocks
4,0,moe_l1,10.403424263000488,2.3740479946136475,17.281919479370117,2.0534400939941406,9.179840087890623,Encoder-Decoder,MegaBlocks
5,0,moe_l1,10.31942367553711,3.301568031311035,17.124256134033203,1.954848051071167,9.135519981384276,Encoder-Decoder,MegaBlocks
6,0,moe_l1,10.380640029907228,3.6631999015808105,17.08451271057129,1.9663039445877075,9.084704399108888,Encoder-Decoder,MegaBlocks
7,0,moe_l1,10.363167762756348,7.367743968963623,17.083744049072266,5.6743998527526855,9.081279754638672,Encoder-Decoder,MegaBlocks
8,0,moe_l1,10.298175811767578,7.816864013671875,17.032480239868164,2.686847925186157,9.088576316833496,Encoder-Decoder,MegaBlocks
9,0,moe_l1,10.35200023651123,13.88441562652588,17.055328369140625,2.399136066436768,9.129376411437988,Encoder-Decoder,MegaBlocks
10,0,moe_l1,10.323007583618164,14.59507179260254,17.096832275390625,2.351968050003052,9.053407669067385,Encoder-Decoder,MegaBlocks
11,0,moe_l1,10.323936462402344,4.500192165374756,17.13164710998535,1.979423999786377,9.097375869750977,Encoder-Decoder,MegaBlocks
12,0,moe_l1,10.334879875183104,8.1943359375,17.090784072875977,2.1435201168060303,9.104640007019045,Encoder-Decoder,MegaBlocks
13,0,moe_l1,10.342464447021484,4.775199890136719,17.074079513549805,1.9295040369033811,9.106240272521973,Encoder-Decoder,MegaBlocks
14,0,moe_l1,10.47923183441162,3.708479881286621,17.065088272094727,2.0216000080108643,9.14425563812256,Encoder-Decoder,MegaBlocks
15,0,moe_l1,10.31772804260254,16.717248916625977,19.46860885620117,2.2141759395599365,9.149151802062988,Encoder-Decoder,MegaBlocks
16,0,moe_l1,11.065055847167969,11.340127944946287,18.7390079498291,2.0622398853302,9.326944351196287,Encoder-Decoder,MegaBlocks
17,0,moe_l1,10.519935607910156,5.279615879058838,17.057727813720703,1.9930880069732664,9.121055603027344,Encoder-Decoder,MegaBlocks
18,0,moe_l1,10.384096145629885,4.944320201873779,17.040191650390625,2.03276801109314,9.148480415344238,Encoder-Decoder,MegaBlocks
19,0,moe_l1,10.375231742858888,8.524415969848633,17.114463806152344,1.9688960313797,9.138431549072266,Encoder-Decoder,MegaBlocks
20,0,moe_l1,10.346528053283691,12.003423690795898,17.028352737426758,3.036736011505127,9.18876838684082,Encoder-Decoder,MegaBlocks
21,0,moe_l1,10.395263671875,7.760447978973389,17.003488540649414,1.9693759679794312,9.130080223083496,Encoder-Decoder,MegaBlocks
22,0,moe_l1,10.321215629577637,3.582015991210937,17.050880432128906,1.9808319807052608,9.068032264709473,Encoder-Decoder,MegaBlocks
23,0,moe_l1,10.83420753479004,2.3412160873413086,18.62384033203125,2.6295359134674072,9.108799934387209,Encoder-Decoder,MegaBlocks
24,0,moe_l1,10.35103988647461,3.2717440128326416,17.076095581054688,1.963487982749939,9.077887535095217,Encoder-Decoder,MegaBlocks
25,0,moe_l1,10.363967895507812,2.2927680015563965,17.01468849182129,1.9926079511642456,9.178336143493652,Encoder-Decoder,MegaBlocks
26,0,moe_l1,10.42796802520752,2.3073599338531494,17.071840286254883,1.94268798828125,9.125823974609377,Encoder-Decoder,MegaBlocks
27,0,moe_l1,10.604127883911133,3.9942080974578857,17.071327209472656,2.0730879306793213,9.14851188659668,Encoder-Decoder,MegaBlocks
28,0,moe_l1,10.361984252929688,4.501440048217773,17.01433563232422,1.988736033439636,9.16486358642578,Encoder-Decoder,MegaBlocks
29,0,moe_l1,10.350943565368652,13.96604824066162,17.022048950195312,2.1024959087371826,9.37827205657959,Encoder-Decoder,MegaBlocks
30,0,moe_l1,10.278176307678224,8.167455673217773,16.929824829101562,2.0184319019317627,9.045856475830078,Encoder-Decoder,MegaBlocks
31,0,moe_l1,10.336640357971191,2.282304048538208,16.960575103759766,1.9407039880752563,9.074624061584473,Encoder-Decoder,MegaBlocks
32,0,moe_l1,10.353407859802246,2.269984006881714,16.984224319458008,2.0479040145874023,9.050623893737791,Encoder-Decoder,MegaBlocks
33,0,moe_l1,10.339072227478027,3.024928092956543,16.989599227905273,1.9879679679870603,9.070079803466797,Encoder-Decoder,MegaBlocks
34,0,moe_l1,10.324992179870604,4.288224220275879,16.997087478637695,2.118815898895264,9.052063941955566,Encoder-Decoder,MegaBlocks
35,0,moe_l1,10.3788480758667,4.914624214172363,17.035200119018555,2.7643520832061768,9.105183601379396,Encoder-Decoder,MegaBlocks
36,0,moe_l1,10.333600044250488,4.397535800933838,16.98534393310547,2.0339839458465576,9.086400032043455,Encoder-Decoder,MegaBlocks
37,0,moe_l1,10.354656219482422,2.3062078952789307,16.981855392456055,2.055039882659912,9.073760032653809,Encoder-Decoder,MegaBlocks
38,0,moe_l1,10.406623840332031,2.3663361072540283,17.010143280029297,1.968544006347656,9.208000183105469,Encoder-Decoder,MegaBlocks
39,0,moe_l1,10.342592239379885,3.0073280334472656,16.986879348754883,2.096992015838623,9.09286403656006,Encoder-Decoder,MegaBlocks
40,0,moe_l1,10.376447677612305,2.3536319732666016,17.127904891967773,1.9361920356750488,9.06886386871338,Encoder-Decoder,MegaBlocks
41,0,moe_l1,10.306719779968262,3.0685760974884038,16.980031967163086,2.024800062179565,9.083168029785156,Encoder-Decoder,MegaBlocks
42,0,moe_l1,10.369919776916504,5.074336051940918,16.97318458557129,2.216864109039306,9.097984313964844,Encoder-Decoder,MegaBlocks
43,0,moe_l1,10.289471626281738,6.194623947143555,16.908735275268555,2.086944103240967,9.108448028564451,Encoder-Decoder,MegaBlocks
44,0,moe_l1,10.275967597961426,3.819808006286621,16.928768157958984,2.04419207572937,9.08841609954834,Encoder-Decoder,MegaBlocks
45,0,moe_l1,10.31283187866211,3.343008041381836,16.929567337036133,2.4534080028533936,9.155424118041992,Encoder-Decoder,MegaBlocks
46,0,moe_l1,10.335519790649414,2.3007678985595703,16.93827247619629,2.0666561126708984,9.101216316223145,Encoder-Decoder,MegaBlocks
47,0,moe_l1,10.319775581359863,2.80784010887146,16.995519638061523,2.11027193069458,9.734111785888672,Encoder-Decoder,MegaBlocks
48,0,moe_l1,10.35529613494873,4.520736217498779,17.000383377075195,2.078336000442505,9.116671562194824,Encoder-Decoder,MegaBlocks
49,0,moe_l1,10.341535568237305,3.319551944732666,16.998912811279297,2.0194239616394043,9.137951850891112,Encoder-Decoder,MegaBlocks
50,0,moe_l1,10.401984214782717,3.4125759601593018,16.988544464111328,2.154207944869995,9.129055976867676,Encoder-Decoder,MegaBlocks
51,0,moe_l1,10.354207992553713,2.322720050811768,17.01353645324707,2.016160011291504,9.124992370605469,Encoder-Decoder,MegaBlocks
52,0,moe_l1,10.326944351196287,4.08735990524292,16.93097686767578,2.8618879318237305,9.09347152709961,Encoder-Decoder,MegaBlocks
53,0,moe_l1,10.360896110534668,3.589184045791626,16.958335876464844,2.02508807182312,9.089407920837402,Encoder-Decoder,MegaBlocks
54,0,moe_l1,10.451104164123535,2.291712045669556,16.995807647705078,1.9860800504684448,9.089280128479004,Encoder-Decoder,MegaBlocks
55,0,moe_l1,10.342368125915527,2.2592639923095703,16.904991149902344,1.9806400537490845,9.064864158630373,Encoder-Decoder,MegaBlocks
56,0,moe_l1,10.398143768310549,2.2719039916992188,17.00604820251465,1.9483840465545652,9.080639839172363,Encoder-Decoder,MegaBlocks
57,0,moe_l1,10.298175811767578,2.930176019668579,16.978368759155273,5.084288120269775,9.059391975402832,Encoder-Decoder,MegaBlocks
58,0,moe_l1,10.313983917236328,3.3800320625305176,16.92505645751953,2.18668794631958,9.084927558898926,Encoder-Decoder,MegaBlocks
59,0,moe_l1,10.327103614807127,2.7610559463500977,16.86128044128418,7.833568096160889,9.102944374084473,Encoder-Decoder,MegaBlocks
60,0,moe_l1,10.316032409667969,3.548095941543579,16.94041633605957,1.9824960231781008,9.079872131347656,Encoder-Decoder,MegaBlocks
61,0,moe_l1,10.350367546081545,2.28387188911438,16.972383499145508,1.9424320459365845,9.059455871582031,Encoder-Decoder,MegaBlocks
62,0,moe_l1,10.308735847473145,3.460767984390259,16.903871536254883,2.0049920082092285,9.261504173278809,Encoder-Decoder,MegaBlocks
63,0,moe_l1,10.380224227905272,2.3004159927368164,16.964448928833008,1.983744025230408,9.104448318481444,Encoder-Decoder,MegaBlocks
64,0,moe_l1,10.387968063354492,2.6785600185394287,17.007999420166016,1.9789119958877563,9.076064109802246,Encoder-Decoder,MegaBlocks
65,0,moe_l1,10.59779167175293,3.5538558959960938,16.937471389770508,2.00598406791687,9.186176300048828,Encoder-Decoder,MegaBlocks
66,0,moe_l1,10.32534408569336,2.9818239212036133,16.927616119384766,2.0320639610290527,9.073375701904297,Encoder-Decoder,MegaBlocks
67,0,moe_l1,10.32812786102295,4.97599983215332,20.68278312683105,1.938143968582153,9.155072212219238,Encoder-Decoder,MegaBlocks
68,0,moe_l1,10.299391746520996,2.576544046401977,16.933055877685547,2.0694079399108887,9.106656074523926,Encoder-Decoder,MegaBlocks
69,0,moe_l1,10.30038356781006,2.2702078819274902,17.145151138305664,2.142751932144165,9.120384216308594,Encoder-Decoder,MegaBlocks
70,0,moe_l1,10.271136283874512,4.28652811050415,16.914751052856445,2.076256036758423,9.07756805419922,Encoder-Decoder,MegaBlocks
71,0,moe_l1,10.317440032958984,2.279520034790039,16.978208541870117,2.0370240211486816,9.10364818572998,Encoder-Decoder,MegaBlocks
72,0,moe_l1,10.334815979003906,5.909152030944824,16.928415298461914,2.109920024871826,9.100704193115234,Encoder-Decoder,MegaBlocks
73,0,moe_l1,10.346464157104492,3.728991985321045,16.915935516357422,2.058624029159546,9.145888328552246,Encoder-Decoder,MegaBlocks
74,0,moe_l1,10.370368003845217,3.361599922180176,16.942848205566406,2.142719984054565,9.085951805114746,Encoder-Decoder,MegaBlocks
75,0,moe_l1,10.315648078918455,3.008255958557129,16.94051170349121,2.0155839920043945,9.041695594787598,Encoder-Decoder,MegaBlocks
76,0,moe_l1,10.301055908203123,3.4938879013061523,16.922880172729492,2.691296100616455,9.071935653686523,Encoder-Decoder,MegaBlocks
77,0,moe_l1,10.32742404937744,4.77619218826294,16.911039352416992,2.458240032196045,9.128479957580566,Encoder-Decoder,MegaBlocks
78,0,moe_l1,10.271136283874512,5.150559902191162,18.103200912475582,1.9482879638671875,9.103424072265623,Encoder-Decoder,MegaBlocks
79,0,moe_l1,10.332127571105955,3.5224320888519287,16.918336868286133,1.9964799880981443,9.090847969055176,Encoder-Decoder,MegaBlocks
80,0,moe_l1,10.345600128173828,3.2227840423583984,16.956480026245117,1.989184021949768,9.109503746032717,Encoder-Decoder,MegaBlocks
81,0,moe_l1,10.357343673706056,3.125375986099243,16.918079376220703,2.0316479206085205,9.121696472167969,Encoder-Decoder,MegaBlocks
82,0,moe_l1,10.33631992340088,2.9219839572906494,16.911264419555664,2.018496036529541,9.11961555480957,Encoder-Decoder,MegaBlocks
83,0,moe_l1,10.327199935913086,3.5988800525665283,16.950944900512695,2.032639980316162,9.079263687133787,Encoder-Decoder,MegaBlocks
84,0,moe_l1,10.345536231994627,3.3977599143981934,16.93155288696289,2.0048959255218506,9.055456161499023,Encoder-Decoder,MegaBlocks
85,0,moe_l1,10.337984085083008,2.304960012435913,17.02422332763672,2.0160961151123047,9.064224243164062,Encoder-Decoder,MegaBlocks
86,0,moe_l1,10.355232238769531,5.948287963867188,16.932640075683594,2.6981759071350098,9.069279670715332,Encoder-Decoder,MegaBlocks
87,0,moe_l1,10.311840057373049,4.589439868927002,16.95372772216797,2.048896074295044,9.102080345153809,Encoder-Decoder,MegaBlocks
88,0,moe_l1,10.341471672058104,2.880703926086426,16.944608688354492,2.071968078613281,9.088704109191896,Encoder-Decoder,MegaBlocks
89,0,moe_l1,10.34540843963623,3.792543888092041,16.95350456237793,2.05020809173584,9.101056098937988,Encoder-Decoder,MegaBlocks
90,0,moe_l1,10.314847946166992,10.278688430786133,16.98134422302246,2.165600061416626,9.124671936035156,Encoder-Decoder,MegaBlocks
91,0,moe_l1,10.307456016540527,4.105792045593262,16.930496215820312,1.9839999675750728,9.06982421875,Encoder-Decoder,MegaBlocks
92,0,moe_l1,10.31174373626709,4.094207763671875,16.94598388671875,2.119391918182373,9.037343978881836,Encoder-Decoder,MegaBlocks
93,0,moe_l1,10.263423919677734,3.96230411529541,16.895296096801758,2.080127954483032,9.04319953918457,Encoder-Decoder,MegaBlocks
94,0,moe_l1,10.301983833312988,2.8992960453033447,16.927072525024414,2.044640064239502,9.099072456359863,Encoder-Decoder,MegaBlocks
95,0,moe_l1,9.854751586914062,2.287935972213745,16.733440399169922,2.304608106613159,8.54751968383789,Encoder-Decoder,MegaBlocks
96,0,moe_l1,9.998047828674316,2.439552068710327,16.92950439453125,1.9807679653167725,8.66256046295166,Encoder-Decoder,MegaBlocks
97,0,moe_l1,9.938143730163574,2.2759358882904053,16.677696228027344,2.28275203704834,8.664383888244629,Encoder-Decoder,MegaBlocks
98,0,moe_l1,9.93443202972412,2.276511907577514,16.708831787109375,2.3702399730682373,8.667679786682129,Encoder-Decoder,MegaBlocks
99,0,moe_l1,9.93776035308838,2.8860158920288086,16.69980812072754,2.2688000202178955,8.604255676269531,Encoder-Decoder,MegaBlocks
0,0,moe_l11,10.343071937561035,2.281536102294922,18.598751068115234,2.925920009613037,9.168543815612791,Encoder-Decoder,MegaBlocks
1,0,moe_l11,10.32476806640625,3.0115199089050293,17.403263092041016,1.9585599899291992,9.168512344360352,Encoder-Decoder,MegaBlocks
2,0,moe_l11,10.301695823669434,2.309567928314209,17.064735412597656,1.946720004081726,11.129823684692385,Encoder-Decoder,MegaBlocks
3,0,moe_l11,10.3438720703125,2.2633280754089355,17.102527618408203,1.9448319673538208,9.111871719360352,Encoder-Decoder,MegaBlocks
4,0,moe_l11,10.310751914978027,2.294816017150879,17.085983276367188,2.020064115524292,9.135456085205078,Encoder-Decoder,MegaBlocks
5,0,moe_l11,10.362719535827637,2.2816638946533203,17.08950424194336,1.955487966537476,9.113408088684082,Encoder-Decoder,MegaBlocks
6,0,moe_l11,10.358400344848633,2.387680053710937,17.10748863220215,2.055583953857422,9.130080223083496,Encoder-Decoder,MegaBlocks
7,0,moe_l11,10.309120178222656,4.140607833862305,17.030431747436523,2.8122239112854004,9.155391693115234,Encoder-Decoder,MegaBlocks
8,0,moe_l11,10.343615531921388,2.268320083618164,17.014080047607422,2.050784111022949,9.128000259399414,Encoder-Decoder,MegaBlocks
9,0,moe_l11,10.329216003417969,2.31331205368042,17.879680633544922,1.9629759788513184,9.704319953918455,Encoder-Decoder,MegaBlocks
10,0,moe_l11,10.356063842773438,2.2772159576416016,17.0579833984375,1.9882880449295044,9.114784240722656,Encoder-Decoder,MegaBlocks
11,0,moe_l11,10.864128112792969,2.298784017562866,17.07164764404297,2.0001919269561768,9.143775939941406,Encoder-Decoder,MegaBlocks
12,0,moe_l11,10.34502410888672,2.2797439098358154,17.05731201171875,1.9790079593658447,9.188703536987305,Encoder-Decoder,MegaBlocks
13,0,moe_l11,10.304736137390137,2.312959909439087,16.99068832397461,1.9680960178375244,9.082752227783203,Encoder-Decoder,MegaBlocks
14,0,moe_l11,10.333536148071287,2.272192001342773,17.043807983398438,1.9501760005950928,9.12771224975586,Encoder-Decoder,MegaBlocks
15,0,moe_l11,10.375871658325195,2.3801279067993164,19.06998443603516,3.5851519107818604,9.679264068603516,Encoder-Decoder,MegaBlocks
16,0,moe_l11,10.460063934326172,9.541695594787598,17.03481674194336,2.743616104125977,9.158495903015137,Encoder-Decoder,MegaBlocks
17,0,moe_l11,10.369152069091797,2.258591890335083,16.972543716430664,1.9706560373306277,9.13868808746338,Encoder-Decoder,MegaBlocks
18,0,moe_l11,10.408191680908203,2.2619519233703613,17.00704002380371,2.0315840244293213,9.111519813537598,Encoder-Decoder,MegaBlocks
19,0,moe_l11,10.40015983581543,2.2795839309692383,17.029951095581055,1.9564160108566284,9.103808403015137,Encoder-Decoder,MegaBlocks
20,0,moe_l11,10.405183792114258,2.2865920066833496,17.02124786376953,1.987007975578308,9.117600440979004,Encoder-Decoder,MegaBlocks
21,0,moe_l11,10.4334716796875,2.265727996826172,17.049728393554688,1.9566080570220947,9.143327713012695,Encoder-Decoder,MegaBlocks
22,0,moe_l11,14.131872177124023,2.8402559757232666,18.7741756439209,1.9746240377426147,9.202112197875977,Encoder-Decoder,MegaBlocks
23,0,moe_l11,31.773632049560547,3.230304002761841,19.64422416687012,2.850239992141724,34.250335693359375,Encoder-Decoder,MegaBlocks
24,0,moe_l11,11.088640213012695,2.453887939453125,17.550079345703125,1.9394880533218384,9.082048416137695,Encoder-Decoder,MegaBlocks
25,0,moe_l11,10.57414436340332,4.379295825958252,17.524255752563477,1.960096001625061,9.733344078063965,Encoder-Decoder,MegaBlocks
