model,model_type,Number of Experts,speedup
DeepSpeed,Encoder,8,1.0
DeepSpeed,Encoder,16,1.0
DeepSpeed,Encoder,32,1.0
DeepSpeed,Encoder,64,1.0
DeepSpeed,Encoder,128,1.0
DeepSpeed,Encoder,256,1.0
DeepSpeed,Encoder-Decoder,8,1.0
DeepSpeed,Encoder-Decoder,16,1.0
DeepSpeed,Encoder-Decoder,32,1.0
DeepSpeed,Encoder-Decoder,64,1.0
DeepSpeed,Encoder-Decoder,128,1.0
DeepSpeed,Encoder-Decoder,256,1.0
MegaBlocks,Encoder,8,2.35
MegaBlocks,Encoder,16,3.73
MegaBlocks,Encoder,32,5.91
MegaBlocks,Encoder,64,6.45
MegaBlocks,Encoder,128,4.06
MegaBlocks,Encoder,256,2.39
MegaBlocks,Encoder-Decoder,8,1.19
MegaBlocks,Encoder-Decoder,16,2.0
MegaBlocks,Encoder-Decoder,32,3.11
MegaBlocks,Encoder-Decoder,64,3.42
MegaBlocks,Encoder-Decoder,128,2.1
MegaBlocks,Encoder-Decoder,256,1.26
Sliced,Encoder,8,2.83
Sliced,Encoder,16,4.92
Sliced,Encoder,32,6.84
Sliced,Encoder,64,6.28
Sliced,Encoder,128,3.46
Sliced,Encoder,256,1.94
Sliced,Encoder-Decoder,8,1.55
Sliced,Encoder-Decoder,16,2.46
Sliced,Encoder-Decoder,32,3.35
Sliced,Encoder-Decoder,64,3.24
Sliced,Encoder-Decoder,128,1.84
Sliced,Encoder-Decoder,256,1.04
