model,model_type,Number of Skewed Experts,speedup
DeepSpeed,Encoder,2,1.0
DeepSpeed,Encoder,13,1.0
DeepSpeed,Encoder,26,1.0
DeepSpeed,Encoder,64,1.0
DeepSpeed,Encoder,77,1.0
DeepSpeed,Encoder,103,1.0
DeepSpeed,Encoder-Decoder,2,1.0
DeepSpeed,Encoder-Decoder,13,1.0
DeepSpeed,Encoder-Decoder,26,1.0
DeepSpeed,Encoder-Decoder,64,1.0
DeepSpeed,Encoder-Decoder,77,1.0
DeepSpeed,Encoder-Decoder,103,1.0
MegaBlocks,Encoder,2,7.34
MegaBlocks,Encoder,13,7.2
MegaBlocks,Encoder,26,7.5
MegaBlocks,Encoder,64,7.56
MegaBlocks,Encoder,77,7.55
MegaBlocks,Encoder,103,7.56
MegaBlocks,Encoder-Decoder,2,3.74
MegaBlocks,Encoder-Decoder,13,3.69
MegaBlocks,Encoder-Decoder,26,3.85
MegaBlocks,Encoder-Decoder,64,4.01
MegaBlocks,Encoder-Decoder,77,3.94
MegaBlocks,Encoder-Decoder,103,3.93
Sliced,Encoder,2,6.61
Sliced,Encoder,13,6.12
Sliced,Encoder,26,6.51
Sliced,Encoder,64,6.77
Sliced,Encoder,77,6.71
Sliced,Encoder,103,6.89
Sliced,Encoder-Decoder,2,3.38
Sliced,Encoder-Decoder,13,3.23
Sliced,Encoder-Decoder,26,3.42
Sliced,Encoder-Decoder,64,3.41
Sliced,Encoder-Decoder,77,3.4
Sliced,Encoder-Decoder,103,3.44
