model,model_type,Router Skew,speedup
DeepSpeed,Encoder,0,1.0
DeepSpeed,Encoder,0,1.0
DeepSpeed,Encoder,0,1.0
DeepSpeed,Encoder,0,1.0
DeepSpeed,Encoder,0,1.0
DeepSpeed,Encoder-Decoder,0,1.0
DeepSpeed,Encoder-Decoder,0,1.0
DeepSpeed,Encoder-Decoder,0,1.0
DeepSpeed,Encoder-Decoder,0,1.0
DeepSpeed,Encoder-Decoder,0,1.0
MegaBlocks,Encoder,0,4.36
MegaBlocks,Encoder,0,4.14
MegaBlocks,Encoder,0,4.24
MegaBlocks,Encoder,0,4.06
MegaBlocks,Encoder,0,4.17
MegaBlocks,Encoder-Decoder,0,2.29
MegaBlocks,Encoder-Decoder,0,2.18
MegaBlocks,Encoder-Decoder,0,2.16
MegaBlocks,Encoder-Decoder,0,2.1
MegaBlocks,Encoder-Decoder,0,2.2
Sliced,Encoder,0,3.94
Sliced,Encoder,0,3.63
Sliced,Encoder,0,3.62
Sliced,Encoder,0,3.46
Sliced,Encoder,0,3.54
Sliced,Encoder-Decoder,0,1.95
Sliced,Encoder-Decoder,0,1.88
Sliced,Encoder-Decoder,0,1.88
Sliced,Encoder-Decoder,0,1.84
Sliced,Encoder-Decoder,0,1.88
