model,section,std,mean,section_idx,layer,layer_sort_key
MegaBlocks,Before Metadata and 1st Data,0.30887073843894036,10.26198673248291,0,1,1
Sliced,Before Metadata and 1st Data,0.30865471941534667,10.15606164187193,0,1,1
MegaBlocks,Before Metadata and 1st Data,2.4639467907260717,10.494078010320663,0,11,11
Sliced,Before Metadata and 1st Data,1.9117835235682459,10.252109073102474,0,11,11
MegaBlocks,Before Metadata and 1st Data,2.503977039624643,8.401781583825747,0,1_decode,21
Sliced,Before Metadata and 1st Data,2.198252781367802,8.284751251339912,0,1_decode,21
MegaBlocks,Before Metadata and 1st Data,0.3309329214824521,8.157927587628365,0,11_decode,31
Sliced,Before Metadata and 1st Data,0.8290546432565641,8.120143170158068,0,11_decode,31
MegaBlocks,Metadata and 1st Data,2.895982799086137,4.137027991935611,1,1,1
Sliced,Metadata and 1st Data,1.696175705303576,3.7385783344507217,1,1,1
MegaBlocks,Metadata and 1st Data,5.535957900725186,3.2987683999041715,1,11,11
Sliced,Metadata and 1st Data,4.026318161057844,3.064540088797609,1,11,11
MegaBlocks,Metadata and 1st Data,5.594595802667832,1.3036071637179703,1,1_decode,21
Sliced,Metadata and 1st Data,5.058597443578685,1.3220753294105332,1,1_decode,21
MegaBlocks,Metadata and 1st Data,0.5489592427843528,0.6767254148920377,1,11_decode,31
Sliced,Metadata and 1st Data,3.059538497992063,1.005485586899643,1,11_decode,31
MegaBlocks,Before 2nd Data,0.6299009692867528,17.112206106384594,2,1,1
Sliced,Before 2nd Data,0.5179678518219816,23.158824741840363,2,1,1
MegaBlocks,Before 2nd Data,0.6383038002229388,17.112124303976696,2,11,11
Sliced,Before 2nd Data,0.6761249193167257,23.14201534787814,2,11,11
MegaBlocks,Before 2nd Data,22.26252474845874,13.66875168432792,2,1_decode,21
Sliced,Before 2nd Data,0.48142689111016107,13.116447341938814,2,1_decode,21
MegaBlocks,Before 2nd Data,0.28198517443658283,11.382345100243887,2,11_decode,31
Sliced,Before 2nd Data,22.683083873473038,16.26515727241834,2,11_decode,31
MegaBlocks,2nd Data,0.7607678671337772,2.2484191671634712,3,1,1
Sliced,2nd Data,0.5182298268103698,2.470195080153644,3,1,1
MegaBlocks,2nd Data,0.8626151064696971,2.3058970014875135,3,11,11
Sliced,2nd Data,0.8702348396072093,2.520226752385497,3,11,11
MegaBlocks,2nd Data,6.169579805150684,0.8769028338526065,3,1_decode,21
Sliced,2nd Data,0.39433363652071546,0.48303783335722983,3,1_decode,21
MegaBlocks,2nd Data,0.40732186618312194,0.41817425036182004,3,11_decode,31
Sliced,2nd Data,1.9483628311292187,0.7063150017832717,3,11_decode,31
MegaBlocks,After 2nd Data,0.16705226434103623,8.97875432918469,4,1,1
Sliced,After 2nd Data,0.31090464211947505,8.998167889813582,4,1,1
MegaBlocks,After 2nd Data,2.7406483519486176,9.264835675557455,4,11,11
Sliced,After 2nd Data,2.591080204703173,9.231566831469536,4,11,11
MegaBlocks,After 2nd Data,1.9341288796149696,7.608021911233664,4,1_decode,21
Sliced,After 2nd Data,2.010591013142542,7.584209339072307,4,1_decode,21
MegaBlocks,After 2nd Data,0.16824232542872528,7.464494572331508,4,11_decode,31
Sliced,After 2nd Data,0.36652985471887894,7.4651832568148775,4,11_decode,31
